月,移出,觸發,進榜,月底在榜
2025-01,42,13,38,30
2025-02,58,28,64,36
2025-03,63,21,38,11
2025-04,18,8,22,15
2025-05,26,9,33,22
2025-06,25,21,39,36
2025-07,46,16,56,46
2025-08,58,51,82,70
2025-09,98,32,52,24
2025-10,43,33,67,48
2025-11,68,33,57,37
2025-12,61,51,98,74
