,進榜,觸發,移出,觸發率,報酬60D中位
電子工業,97,53,92,55.0,1.6
半導體業,95,47,69,49.0,4.5
電子零組件業,76,51,67,67.0,0.1
金融保險,39,7,39,18.0,0.0
其他電子業,30,13,31,43.0,2.3
光電業,30,16,32,53.0,-8.4
電腦及週邊設備業,29,21,27,72.0,-7.6
通信網路業,27,15,25,56.0,-10.4
航運業,26,13,28,50.0,-8.4
其他,25,10,25,40.0,-9.7
化學工業,22,10,20,45.0,-1.8
電機機械,19,11,22,58.0,-5.9
資訊服務業,16,11,17,69.0,-13.8
生技醫療業,15,4,14,27.0,-20.7
其他電子類,14,8,14,57.0,-17.1
觀光事業,13,1,13,8.0,-1.0
食品工業,10,2,10,20.0,6.2
塑膠工業,9,4,9,44.0,-6.8
綠能環保,9,4,8,44.0,-12.3
建材營造,9,3,9,33.0,-3.0
電器電纜,8,2,6,25.0,-8.4
汽車工業,6,1,7,17.0,-15.3
鋼鐵工業,5,2,5,40.0,-10.4
創新版股票,4,1,5,25.0,-6.4
化學生技醫療,3,1,3,33.0,-9.3
電子通路業,3,2,2,67.0,-1.2
玻璃陶瓷,2,1,2,50.0,-29.1
文化創意業,2,1,2,50.0,8.4
數位雲端,1,1,1,100.0,-20.1
油電燃氣業,1,0,1,0.0,
電子商務業,1,0,1,0.0,-26.6
