日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,報酬20D,基準20D,報酬60D,基準60D,次日開盤,跳空%,報酬20D開,基準20D開,報酬60D開,基準60D開,月
2025-01-02,6757,台灣虎航-創,創新版股票,進榜,準備,75.6,91.0,3.0,0,4.4,0.2,1.2,-16.4,75.7,0.1,4.2,0.1,1.1,-16.6,2025-01
2025-01-02,6005,群益證,金融保險,進榜,準備,21.17,74.0,2.0,0,0.2,0.2,-13.3,-16.4,21.1,-0.6,0.8,0.1,-12.8,-16.6,2025-01
2025-01-02,2891,中信金,金融保險,移出,掉出掃描母體,35.72,70.0,,6,,,,,,,,,,,2025-01
2025-01-02,2332,友訊,通信網路業,移出,離高點太遠,23.95,86.0,,13,,,,,,,,,,,2025-01
2025-01-03,2885,元大金,金融保險,進榜,準備,30.08,73.0,1.0,0,3.0,0.7,-12.8,-15.4,30.1,0.0,3.0,0.4,-12.8,-15.6,2025-01
2025-01-03,2891,中信金,金融保險,進榜,準備,35.63,72.0,1.0,0,2.7,0.7,-4.5,-15.4,35.8,0.4,2.3,0.4,-4.9,-15.6,2025-01
2025-01-03,4991,環宇-KY,半導體業,移出,離高點太遠,119.06,100.0,,15,,,,,,,,,,,2025-01
2025-01-03,3230,錦明,光電業,移出,離高點太遠,58.39,99.0,,11,,,,,,,,,,,2025-01
2025-01-06,3025,星通,電子工業,進榜,觸發,77.77,80.0,4.0,0,-23.5,0.0,-43.5,-14.9,77.8,0.0,-23.5,0.0,-43.5,-15.2,2025-01
2025-01-06,3025,星通,電子工業,觸發,進榜即觸發,77.77,80.0,4.0,0,-23.5,0.0,-43.5,-14.9,77.8,0.0,-23.5,0.0,-43.5,-15.2,2025-01
2025-01-06,2454,聯發科,半導體業,進榜,觸發,1362.77,70.0,3.0,0,4.2,0.0,-1.8,-14.9,1381.9,1.4,2.8,0.0,-3.1,-15.2,2025-01
2025-01-06,2454,聯發科,半導體業,觸發,進榜即觸發,1362.77,70.0,3.0,0,4.2,0.0,-1.8,-14.9,1381.9,1.4,2.8,0.0,-3.1,-15.2,2025-01
2025-01-06,3594,磐儀,電腦及週邊設備業,進榜,準備,54.72,88.0,1.0,0,3.6,0.0,-25.5,-14.9,54.7,0.0,3.6,0.0,-25.5,-15.2,2025-01
2025-01-06,2882,國泰金,金融保險,進榜,準備,63.0,74.0,1.0,0,-0.1,0.0,-20.8,-14.9,63.3,0.4,-0.6,0.0,-21.1,-15.2,2025-01
2025-01-06,2330,台積電,半導體業,觸發,等待後觸發,1100.38,78.0,1.0,14,-2.2,0.0,-22.8,-14.9,1124.8,2.2,-4.3,0.0,-24.4,-15.2,2025-01
2025-01-06,2891,中信金,金融保險,移出,掉出掃描母體,35.63,72.0,,3,,,,,,,,,,,2025-01
2025-01-06,3533,嘉澤,電子工業,移出,突破失敗,1747.08,83.0,,33,,,,,,,,,,,2025-01
2025-01-06,4576,大銀微系統,電機機械,移出,離高點太遠,138.75,95.0,,14,,,,,,,,,,,2025-01
2025-01-07,3363,上詮,通信網路業,進榜,觸發,290.4,95.0,5.0,0,15.5,1.4,-39.2,-11.8,290.4,0.0,15.5,1.5,-39.2,-11.7,2025-01
2025-01-07,3363,上詮,通信網路業,觸發,進榜即觸發,290.4,95.0,5.0,0,15.5,1.4,-39.2,-11.8,290.4,0.0,15.5,1.5,-39.2,-11.7,2025-01
2025-01-07,3491,昇達科,通信網路業,進榜,觸發,385.36,87.0,4.0,0,3.4,1.4,1.1,-11.8,389.8,1.1,2.3,1.5,0.0,-11.7,2025-01
2025-01-07,3491,昇達科,通信網路業,觸發,進榜即觸發,385.36,87.0,4.0,0,3.4,1.4,1.1,-11.8,389.8,1.1,2.3,1.5,0.0,-11.7,2025-01
2025-01-07,6781,AES-KY,電子工業,進榜,準備,1151.56,98.0,3.0,0,-10.1,1.4,-33.2,-11.8,1151.6,0.0,-10.1,1.5,-33.2,-11.7,2025-01
2025-01-07,3088,艾訊,電腦及週邊設備業,進榜,準備,119.89,88.0,3.0,0,13.6,1.4,-15.6,-11.8,118.0,-1.6,15.4,1.5,-14.2,-11.7,2025-01
2025-01-07,2308,台達電,電子工業,進榜,準備,422.24,77.0,2.0,0,-6.2,1.4,-23.5,-11.8,430.5,2.0,-8.1,1.5,-25.0,-11.7,2025-01
2025-01-07,2357,華碩,電子工業,觸發,等待後觸發,579.53,84.0,3.0,15,4.8,1.4,-13.1,-11.8,578.6,-0.2,4.9,1.5,-13.0,-11.7,2025-01
2025-01-07,8937,合騏*,其他,觸發,等待後觸發,42.48,100.0,3.0,7,-4.4,1.4,-25.3,-11.8,42.7,0.6,-5.0,1.5,-25.7,-11.7,2025-01
2025-01-07,4583,台灣精銳,電機機械,移出,離高點太遠,813.88,99.0,,14,,,,,,,,,,,2025-01
2025-01-07,3025,星通,電子工業,移出,突破失敗,70.0,71.0,,1,,,,,,,,,,,2025-01
2025-01-08,4979,華星光,通信網路業,進榜,準備,205.21,94.0,2.0,0,6.7,1.6,-30.3,-13.1,204.7,-0.2,7.0,1.6,-30.1,-12.9,2025-01
2025-01-08,2882,國泰金,金融保險,移出,掉出掃描母體,63.28,70.0,,2,,,,,,,,,,,2025-01
2025-01-08,4540,全球傳動,電機機械,移出,離高點太遠,54.7,93.0,,27,,,,,,,,,,,2025-01
2025-01-08,4974,亞泰,電子零組件業,移出,離高點太遠,110.24,93.0,,14,,,,,,,,,,,2025-01
2025-01-08,1597,直得,電機機械,移出,晚期未觸發,111.49,88.0,,14,,,,,,,,,,,2025-01
2025-01-09,2880,華南金,金融保險,進榜,準備,24.64,71.0,0.0,0,3.0,3.4,-1.3,-12.0,24.4,-0.9,3.9,3.4,-0.4,-11.8,2025-01
2025-01-09,2891,中信金,金融保險,進榜,準備,35.59,71.0,1.0,0,4.4,3.4,-4.5,-12.0,35.4,-0.5,4.9,3.4,-4.0,-11.8,2025-01
2025-01-09,6510,精測,半導體業,移出,離高點太遠,774.49,96.0,,36,,,,,,,,,,,2025-01
2025-01-09,4571,鈞興-KY,電機機械,移出,離高點太遠,203.2,95.0,,29,,,,,,,,,,,2025-01
2025-01-09,3019,亞光,光電業,移出,離高點太遠,146.47,97.0,,23,,,,,,,,,,,2025-01
2025-01-09,6215,和椿,其他電子業,移出,離高點太遠,92.5,93.0,,20,,,,,,,,,,,2025-01
2025-01-09,4549,桓達,電機機械,移出,離高點太遠,181.2,90.0,,16,,,,,,,,,,,2025-01
2025-01-10,2880,華南金,金融保險,移出,掉出掃描母體,24.64,71.0,,1,,,,,,,,,,,2025-01
2025-01-10,2891,中信金,金融保險,移出,掉出掃描母體,35.59,71.0,,1,,,,,,,,,,,2025-01
2025-01-10,2233,宇隆,汽車工業,移出,離高點太遠,220.47,96.0,,23,,,,,,,,,,,2025-01
2025-01-13,5314,世紀*,半導體業,進榜,準備,9.78,100.0,3.0,0,-0.1,6.8,26.9,-11.3,9.8,0.0,-0.1,6.6,26.9,-11.3,2025-01
2025-01-13,2880,華南金,金融保險,進榜,準備,24.37,73.0,0.0,0,4.3,6.8,0.6,-11.3,24.6,0.9,3.3,6.6,-0.4,-11.3,2025-01
2025-01-13,2454,聯發科,半導體業,移出,掉出掃描母體,1401.03,76.0,,7,,,,,,,,,,,2025-01
2025-01-13,2610,華航,航運業,移出,掉出掃描母體,23.82,81.0,,41,,,,,,,,,,,2025-01
2025-01-13,6442,光聖,通信網路業,移出,掉出掃描母體,589.35,94.0,,35,,,,,,,,,,,2025-01
2025-01-13,8111,立碁,光電業,移出,離高點太遠,46.33,96.0,,25,,,,,,,,,,,2025-01
2025-01-13,3147,大綜,資訊服務業,移出,離高點太遠,130.08,85.0,,24,,,,,,,,,,,2025-01
2025-01-13,2357,華碩,電子工業,移出,掉出掃描母體,559.86,85.0,,21,,,,,,,,,,,2025-01
2025-01-13,2885,元大金,金融保險,移出,掉出掃描母體,29.78,73.0,,10,,,,,,,,,,,2025-01
2025-01-13,3594,磐儀,電腦及週邊設備業,移出,離高點太遠,49.17,82.0,,7,,,,,,,,,,,2025-01
2025-01-13,2308,台達電,電子工業,移出,掉出掃描母體,410.51,72.0,,6,,,,,,,,,,,2025-01
2025-01-14,3551,世禾,其他電子類,進榜,觸發,135.57,92.0,2.0,0,-7.9,5.8,-37.4,-12.6,136.5,0.7,-8.6,5.9,-37.9,-12.4,2025-01
2025-01-14,3551,世禾,其他電子類,觸發,進榜即觸發,135.57,92.0,2.0,0,-7.9,5.8,-37.4,-12.6,136.5,0.7,-8.6,5.9,-37.9,-12.4,2025-01
