掛單價,監控日,候選,成交,成交率%,折價%,等待日,報酬60D,超額,勝率%,期望值
◆T+1開盤,0,201,201,100.0,1.7,1,-4.5,-0.3,49.8,-0.35
樞紐+1.0%,5,316,136,43.0,0.88,1,-3.8,0.7,51.5,0.29
樞紐+1.0%,10,316,148,46.8,0.75,1,-3.9,0.6,50.7,0.26
樞紐+1.0%,20,316,160,50.6,0.64,1,-4.5,-1.1,48.8,-0.53
樞紐+0.5%,5,316,130,41.1,0.5,1,-3.3,1.1,52.3,0.46
樞紐+0.5%,10,316,144,45.6,0.5,1,-3.5,1.0,50.7,0.46
樞紐+0.5%,20,316,158,50.0,0.5,1,-4.2,-0.6,48.7,-0.31
樞紐±0%,5,316,125,39.6,0.0,1,-2.9,1.3,51.2,0.53
樞紐±0%,10,316,139,44.0,0.0,1,-3.3,-0.1,49.6,-0.04
樞紐±0%,20,316,156,49.4,0.0,1,-3.7,-0.4,48.7,-0.19
樞紐-1.0%,5,316,103,32.6,-1.0,1,-5.5,-2.5,46.6,-0.81
樞紐-1.0%,10,316,126,39.9,-1.0,1,-5.8,-0.8,46.0,-0.33
樞紐-1.0%,20,316,144,45.6,-1.0,2,-5.0,-0.8,47.2,-0.34
樞紐-2.0%,5,316,90,28.5,-2.0,1,-6.4,-2.1,46.7,-0.61
樞紐-2.0%,10,316,110,34.8,-2.0,2,-6.9,-1.9,46.4,-0.65
樞紐-2.0%,20,316,132,41.8,-2.0,3,-5.6,-0.1,47.7,-0.05
