代號,名稱,產業,進榜次數,首次進榜,報酬60D,觸發次數
2891,中信金,金融保險,13,2025-01-03,3.1,3
2753,八方雲集,觀光事業,8,2025-05-02,2.4,0
1215,卜蜂,食品工業,7,2025-06-05,17.5,1
6944,兆聯實業,綠能環保,7,2025-01-22,-11.8,3
2812,台中銀,金融保險,6,2025-03-07,9.05,1
3260,威剛,半導體業,5,2025-07-30,68.8,3
5475,德宏,電子零組件業,5,2025-07-16,49.6,4
5439,高技,電子零組件業,5,2025-02-26,34.7,4
4772,台特化,化學工業,5,2025-03-04,2.5,1
4303,信立,塑膠工業,5,2025-02-21,-2.1,3
6138,茂達,半導體業,5,2025-09-12,-2.7,1
2316,楠梓電,電子工業,5,2025-08-20,-9.0,4
6670,復盛應用,其他,5,2025-02-20,-14.2,2
3596,智易,通信網路業,5,2025-02-13,-16.1,1
8422,可寧衛,其他,5,2025-11-07,,1
1815,富喬,電子零組件業,4,2025-02-06,71.2,4
6510,精測,半導體業,4,2025-02-12,68.4,1
8021,尖點,其他電子業,4,2025-08-07,62.45,4
3665,貿聯-KY,其他電子業,4,2025-02-11,42.7,0
8358,金居,電子零組件業,4,2025-08-08,42.65,3
2301,光寶科,電腦及週邊設備業,4,2025-06-26,36.9,3
6274,台燿,電子零組件業,4,2025-07-01,27.3,1
6257,矽格,半導體業,4,2025-07-23,17.950000000000003,1
2880,華南金,金融保險,4,2025-01-09,-0.25000000000000006,1
3090,日電貿,電子工業,4,2025-05-15,-2.0,0
2609,陽明,航運業,4,2025-03-18,-6.550000000000001,0
2328,廣宇,電子零組件業,4,2025-02-13,-9.15,2
3551,世禾,其他電子類,4,2025-01-14,-13.1,1
6005,群益證,金融保險,4,2025-01-02,-15.6,0
2308,台達電,電子工業,4,2025-01-07,-23.5,1
2408,南亞科,半導體業,3,2025-09-15,156.7,2
4722,國精化,化學工業,3,2025-06-09,110.2,3
8299,群聯,半導體業,3,2025-09-18,67.85,2
6209,今國光,光電業,3,2025-09-22,48.6,1
8271,宇瞻,半導體業,3,2025-08-07,48.3,1
5289,宜鼎,電腦及週邊設備業,3,2025-09-09,44.8,2
6290,良維,電子零組件業,3,2025-07-11,39.6,1
2645,長榮航太,航運業,3,2025-06-02,37.8,2
3017,奇鋐,電子工業,3,2025-10-02,37.3,1
6669,緯穎,電子工業,3,2025-06-25,37.25,3
5284,jpp-KY,其他,3,2025-07-10,33.15,1
2421,建準,電子工業,3,2025-07-03,29.1,1
6139,亞翔,電子工業,3,2025-06-20,27.65,2
5314,世紀*,半導體業,3,2025-01-13,26.9,2
5469,瀚宇博,電子零組件業,3,2025-07-18,17.65,3
2429,銘旺科,電子零組件業,3,2025-06-05,17.5,3
3044,健鼎,電子工業,3,2025-06-23,16.55,1
3005,神基,電子工業,3,2025-06-19,16.4,0
2383,台光電,電子工業,3,2025-02-07,11.5,2
6739,竹陞科技,其他電子業,3,2025-02-14,10.6,3
8088,品安,半導體業,3,2025-09-08,9.6,2
6691,洋基工程,其他電子業,3,2025-06-24,9.3,0
2597,潤弘,建材營造,3,2025-05-12,8.2,1
3264,欣銓,半導體業,3,2025-06-11,6.25,1
2329,華泰,半導體業,3,2025-08-25,6.1,1
3163,波若威,通信網路業,3,2025-03-17,2.9,2
3036,文曄,電子工業,3,2025-06-04,2.2,2
4931,新盛力,電腦及週邊設備業,3,2025-03-11,0.7,3
6752,叡揚,資訊服務業,3,2025-02-05,-0.8,2
3515,華擎,電子工業,3,2025-08-01,-0.8499999999999996,2
6757,台灣虎航-創,創新版股票,3,2025-01-02,-3.9,1
4971,IET-KY,半導體業,3,2025-02-06,-5.0,3
6781,AES-KY,電子工業,3,2025-01-07,-5.4,0
3434,哲固,光電業,3,2025-04-08,-6.0,0
3528,安馳,電子工業,3,2025-03-14,-7.0,3
3078,僑威,電子零組件業,3,2025-03-26,-9.0,0
3563,牧德,光電業,3,2025-03-18,-10.7,0
6831,邁科,電腦及週邊設備業,3,2025-08-14,-12.6,2
2885,元大金,金融保險,3,2025-01-03,-12.8,0
8111,立碁,光電業,3,2025-03-19,-16.4,3
4991,環宇-KY,半導體業,3,2025-02-10,-17.65,2
3711,日月光投控,半導體業,3,2025-02-14,-17.75,0
2610,華航,航運業,3,2025-01-17,-19.0,1
3015,全漢,電子工業,3,2025-02-07,-19.1,0
2330,台積電,半導體業,3,2025-01-22,-19.6,2
6472,保瑞,生技醫療業,3,2025-02-14,-20.4,0
6148,驊宏資,資訊服務業,3,2025-03-21,-21.0,2
6499,益安,生技醫療業,3,2025-05-21,-23.4,1
3363,上詮,通信網路業,3,2025-01-07,-39.2,3
1608,華榮,電器電纜,3,2025-10-07,,1
1727,中華化,化學工業,3,2025-11-17,,2
2211,長榮鋼,鋼鐵工業,3,2025-11-05,,0
2337,旺宏,半導體業,3,2025-10-20,,1
2451,創見,半導體業,3,2025-10-16,,2
2467,志聖,電子工業,3,2025-12-08,,2
2612,中航,航運業,3,2025-10-16,,1
4989,榮科,電子零組件業,3,2025-10-08,,3
6696,仁新*,生技醫療業,3,2025-10-09,,0
2344,華邦電,半導體業,2,2025-09-15,178.4,1
2368,金像電,電子零組件業,2,2025-06-05,78.2,2
2404,漢唐,其他電子業,2,2025-01-17,43.1,1
6196,帆宣,其他電子業,2,2025-05-22,37.6,1
6919,康霈*,生技醫療業,2,2025-06-05,37.45,2
6826,和淞,其他電子業,2,2025-04-29,29.650000000000002,1
5274,信驊,半導體業,2,2025-09-18,26.1,1
6191,精成科,電子工業,2,2025-06-27,25.099999999999998,2
1504,東元,電機機械,2,2025-08-21,19.549999999999997,2
2468,華經,資訊服務業,2,2025-03-11,19.05,1
3211,順達,電腦及週邊設備業,2,2025-06-25,17.2,2
1616,億泰,電器電纜,2,2025-05-20,16.4,1
4760,勤凱,其他電子類,2,2025-08-25,11.7,1
8046,南電,電子工業,2,2025-08-27,11.7,1
3162,精確,電機機械,2,2025-02-11,10.1,2
6596,寬宏藝術,文化創意業,2,2025-06-09,8.350000000000001,1
3379,彬台,電機機械,2,2025-02-18,7.6000000000000005,1
5392,能率,光電業,2,2025-08-19,6.550000000000001,0
2480,敦陽科,資訊服務業,2,2025-02-04,5.8,1
2607,榮運,航運業,2,2025-05-22,5.75,0
3217,優群,電子零組件業,2,2025-07-23,5.7,1
6190,萬泰科,通信網路業,2,2025-07-21,5.2,1
6213,聯茂,電子工業,2,2025-07-28,3.8,1
3231,緯創,電子工業,2,2025-06-20,2.6,1
4541,晟田,其他,2,2025-03-19,-0.6500000000000004,2
3709,鑫聯大投控,電腦及週邊設備業,2,2025-04-23,-0.7,2
6291,沛亨,半導體業,2,2025-09-03,-0.9,1
6227,茂綸,電子通路業,2,2025-02-10,-1.25,1
4916,事欣科,電腦及週邊設備業,2,2025-02-19,-1.75,2
7402,邑錡,光電業,2,2025-08-25,-3.6500000000000004,1
2630,亞航,航運業,2,2025-08-08,-4.8999999999999995,2
2454,聯發科,半導體業,2,2025-01-06,-5.3500000000000005,1
2727,王品,觀光事業,2,2025-06-27,-5.85,0
8234,新漢,電腦及週邊設備業,2,2025-02-10,-6.000000000000001,2
3705,永信,化學生技醫療,2,2025-04-28,-6.75,0
4763,材料*-KY,化學工業,2,2025-02-10,-7.6,1
4766,南寶,化學工業,2,2025-07-31,-11.5,0
2247,汎德永業,汽車工業,2,2025-07-28,-11.95,0
6923,中台,綠能環保,2,2025-09-16,-12.7,1
2881,富邦金,金融保險,2,2025-01-16,-12.75,0
3526,凡甲,電子零組件業,2,2025-02-06,-13.5,0
1210,大成,食品工業,2,2025-05-26,-15.149999999999999,0
2606,裕民,航運業,2,2025-02-13,-15.8,2
