月,移出,觸發,進榜,月底在榜
2026-01,126,80,121,69
2026-02,61,40,77,85
2026-03,183,96,132,34
2026-04,135,106,153,52
2026-05,127,96,142,67
2026-06,138,79,102,31
2026-07,84,28,63,10
2026-08,37,41,62,35
2026-09,6,5,8,37
