掛單價,監控日,候選,成交,成交率%,折價%,等待日,報酬60D,超額,勝率%,期望值
◆T+1開盤,0,430,430,100.0,2.2,1,5.6,5.0,54.9,5.02
樞紐+1.0%,5,571,312,54.6,0.85,1,6.4,7.0,56.7,3.81
樞紐+1.0%,10,571,339,59.4,0.94,1,8.0,8.6,58.4,5.09
樞紐+1.0%,20,571,353,61.8,0.8,1,8.0,8.6,59.2,5.3
樞紐+0.5%,5,571,301,52.7,0.5,1,6.9,7.0,56.1,3.67
樞紐+0.5%,10,571,328,57.4,0.5,1,8.6,8.8,57.9,5.07
樞紐+0.5%,20,571,344,60.2,0.5,1,8.7,8.8,58.7,5.32
樞紐±0%,5,571,294,51.5,0.0,1,7.1,6.6,56.5,3.4
樞紐±0%,10,571,322,56.4,0.0,1,8.7,8.9,58.4,5.02
樞紐±0%,20,571,338,59.2,0.0,1,9.4,9.4,59.2,5.54
樞紐-1.0%,5,571,276,48.3,-1.0,1,6.0,6.9,55.4,3.35
樞紐-1.0%,10,571,310,54.3,-1.0,1,9.0,8.6,58.1,4.69
樞紐-1.0%,20,571,326,57.1,-1.0,1,9.5,9.1,58.6,5.22
樞紐-2.0%,5,571,253,44.3,-2.0,1,6.5,4.9,54.2,2.19
樞紐-2.0%,10,571,290,50.8,-2.0,1,9.0,8.6,56.9,4.36
樞紐-2.0%,20,571,310,54.3,-2.0,1,9.8,9.0,58.1,4.86
