日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,樞紐,報酬20D,基準20D,報酬60D,基準60D,報酬120D,基準120D,報酬180D,基準180D,次日開盤,跳空%,報酬20D開,基準20D開,報酬60D開,基準60D開,報酬120D開,基準120D開,報酬180D開,基準180D開,月
2026-01-02,8110,華東,電子工業,進榜,觸發,60.49,100.0,1.0,0,,27.3,0.0,-20.9,-0.8,-16.5,3.2,,,65.8,8.8,17.0,0.0,-27.3,-0.8,-23.3,3.2,,,2026-01
2026-01-02,8110,華東,電子工業,觸發,進榜即觸發,60.49,100.0,1.0,0,60.49,27.3,0.0,-20.9,-0.8,-16.5,3.2,,,65.8,8.8,17.0,0.0,-27.3,-0.8,-23.3,3.2,,,2026-01
2026-01-02,2472,立隆電,電子工業,進榜,觸發,115.74,78.0,4.0,0,,-8.1,0.0,26.0,-0.8,214.0,3.2,,,117.2,1.3,-9.2,0.0,24.4,-0.8,210.1,3.2,,,2026-01
2026-01-02,2472,立隆電,電子工業,觸發,進榜即觸發,115.74,78.0,4.0,0,115.74,-8.1,0.0,26.0,-0.8,214.0,3.2,,,117.2,1.3,-9.2,0.0,24.4,-0.8,210.1,3.2,,,2026-01
2026-01-02,3048,益登,電子通路業,進榜,觸發,44.99,77.0,1.0,0,,-13.5,0.0,-17.1,-0.8,34.5,3.2,,,47.8,6.2,-18.5,0.0,-21.9,-0.8,26.6,3.2,,,2026-01
2026-01-02,3048,益登,電子通路業,觸發,進榜即觸發,44.99,77.0,1.0,0,44.99,-13.5,0.0,-17.1,-0.8,34.5,3.2,,,47.8,6.2,-18.5,0.0,-21.9,-0.8,26.6,3.2,,,2026-01
2026-01-02,2308,台達電,電子工業,進榜,準備,989.82,90.0,3.0,0,,22.6,0.0,74.4,-0.8,90.9,3.2,,,1004.7,1.5,20.8,0.0,71.8,-0.8,88.1,3.2,,,2026-01
2026-01-02,6173,信昌電,電子零組件業,進榜,準備,69.84,84.0,2.0,0,,-2.3,0.0,-7.1,-0.8,304.0,3.2,,,70.6,1.1,-3.4,0.0,-8.2,-0.8,299.4,3.2,,,2026-01
2026-01-02,3357,臺慶科,電子零組件業,進榜,準備,157.3,77.0,2.0,0,,-2.8,0.0,-3.7,-0.8,66.9,3.2,,,160.7,2.2,-4.9,0.0,-5.8,-0.8,63.3,3.2,,,2026-01
2026-01-02,6548,長科*,半導體業,進榜,準備,44.89,72.0,3.0,0,,27.3,0.0,14.6,-0.8,98.9,3.2,,,45.4,1.1,26.0,0.0,13.4,-0.8,96.8,3.2,,,2026-01
