代號,名稱,產業,進榜次數,首次進榜,報酬60D,觸發次數
3532,台勝科,半導體業,8,2026-01-14,41.6,5
7610,聯友金屬,綠能環保,7,2026-01-09,322.6,5
4958,臻鼎-KY,電子零組件業,6,2026-01-30,119.3,3
3037,欣興,電子工業,6,2026-01-23,106.6,1
2351,順德,電子工業,6,2026-04-08,64.5,3
4542,科嶠,電子零組件業,6,2026-02-09,48.6,3
2426,鼎元,光電業,6,2026-03-13,42.949999999999996,5
4939,亞電,電子零組件業,6,2026-01-20,35.5,6
8150,南茂,電子工業,6,2026-02-26,31.3,5
4991,環宇-KY,半導體業,6,2026-02-04,17.25,5
8042,金山電,電子零組件業,6,2026-01-06,0.75,3
6830,汎銓,其他電子業,5,2026-01-08,216.2,3
2484,希華,電子工業,5,2026-04-01,116.05000000000001,3
4764,雙鍵,化學工業,5,2026-02-25,82.4,5
3189,景碩,半導體業,5,2026-01-05,80.6,4
6291,沛亨,半導體業,5,2026-01-28,77.2,3
3221,台嘉碩,通信網路業,5,2026-02-26,59.9,4
3234,光環,通信網路業,5,2026-01-21,59.9,5
3481,群創,光電業,5,2026-01-14,55.5,3
3498,陽程,其他電子類,5,2026-03-12,53.95,2
8027,鈦昇,電機機械,5,2026-02-03,45.8,2
2330,台積電,半導體業,5,2026-01-05,26.8,2
2344,華邦電,半導體業,5,2026-03-17,25.4,5
2455,全新,通信網路業,5,2026-02-26,24.099999999999998,4
1303,南亞,塑膠工業,5,2026-01-07,20.25,4
3265,台星科,半導體業,5,2026-01-13,19.7,1
6217,中探針,電子零組件業,5,2026-01-19,19.1,4
2495,普安,其他電子業,5,2026-01-07,18.5,2
2472,立隆電,電子工業,5,2026-01-02,16.25,5
2478,大毅,電子工業,5,2026-01-12,9.0,3
3450,聯鈞,其他電子業,5,2026-03-03,6.7,4
3702,大聯大,電子工業,5,2026-05-08,0.050000000000000044,1
8064,東捷,光電業,5,2026-03-16,-19.5,4
6451,訊芯-KY,半導體業,5,2026-03-16,-24.9,3
6213,聯茂,電子工業,4,2026-04-01,127.3,4
8046,南電,電子工業,4,2026-01-16,125.75,4
6274,台燿,電子零組件業,4,2026-01-23,122.0,1
8021,尖點,其他電子業,4,2026-02-24,89.4,2
3167,大量,電機機械,4,2026-03-11,89.0,4
2454,聯發科,半導體業,4,2026-02-05,71.65,2
6187,萬潤,其他電子類,4,2026-02-25,68.5,2
1711,永光,化學工業,4,2026-02-23,60.050000000000004,2
2486,一詮,光電業,4,2026-01-28,55.1,2
5475,德宏,電子零組件業,4,2026-01-19,47.099999999999994,3
8996,高力,電機機械,4,2026-01-09,41.1,3
2408,南亞科,半導體業,4,2026-05-11,38.849999999999994,5
3028,增你強,電子工業,4,2026-02-02,38.6,2
8039,台虹,電子工業,4,2026-02-26,38.45,4
2464,盟立,其他電子業,4,2026-04-29,32.8,1
2360,致茂,其他電子業,4,2026-02-11,31.95,2
4989,榮科,電子零組件業,4,2026-03-02,31.0,4
2485,兆赫,通信網路業,4,2026-01-13,29.75,4
6949,沛爾生醫-創,創新版股票,4,2026-01-28,28.55,3
3081,聯亞,通信網路業,4,2026-03-26,27.5,3
2399,映泰,電子工業,4,2026-03-19,25.3,3
3675,德微,半導體業,4,2026-03-12,24.1,3
6182,合晶,半導體業,4,2026-01-07,24.05,4
7795,長廣,電子零組件業,4,2026-01-19,21.0,3
6693,廣閎科,半導體業,4,2026-04-20,20.0,1
2885,元大金,金融保險,4,2026-02-23,19.75,0
6715,嘉基,電子工業,4,2026-03-18,19.1,3
2303,聯電,半導體業,4,2026-01-20,18.3,2
6488,環球晶,半導體業,4,2026-01-14,15.7,3
3006,晶豪科,電子工業,4,2026-01-28,15.5,4
6173,信昌電,電子零組件業,4,2026-01-02,15.5,2
2492,華新科,電子工業,4,2026-01-07,13.7,2
1326,台化,塑膠工業,4,2026-01-28,12.399999999999999,1
