,進榜,觸發,移出,觸發率,報酬60D中位
半導體業,186,133,212,72.0,19.6
電子工業,178,122,182,69.0,9.4
電子零組件業,123,81,130,66.0,4.1
光電業,64,47,58,73.0,1.8
通信網路業,57,46,59,81.0,14.3
其他電子業,49,24,50,49.0,5.8
電機機械,32,17,35,53.0,26.4
其他電子類,27,16,26,59.0,0.9
電腦及週邊設備業,23,16,24,70.0,0.5
化學工業,22,18,23,82.0,33.1
金融保險,21,4,18,19.0,3.0
塑膠工業,14,8,13,57.0,-9.6
電子通路業,9,7,10,78.0,-7.2
綠能環保,8,6,9,75.0,302.3
生技醫療業,7,5,7,71.0,-9.3
航運業,6,2,6,33.0,-18.7
玻璃陶瓷,6,5,6,83.0,4.8
油電燃氣業,5,2,5,40.0,-15.7
金融業,4,3,4,75.0,7.7
創新版股票,4,3,3,75.0,28.6
其他,3,1,5,33.0,17.8
資訊服務業,2,0,1,0.0,
化學生技醫療,2,1,2,50.0,-8.8
汽車工業,1,1,1,100.0,10.4
橡膠工業,1,0,0,0.0,
數位雲端,1,0,1,0.0,-14.6
建材營造,1,0,1,0.0,-28.1
存託憑證,1,1,1,100.0,-30.8
紡織纖維,1,0,1,0.0,
貿易百貨,1,1,1,100.0,
鋼鐵工業,1,0,1,0.0,-24.4
