stock_id,name,role,note
2845,遠東銀,銀行,2026-09-14 金融同步創高事件觀察組
2851,中再保,再保險,同上；c08 突破次數 11 偏高
2881,富邦金,金控,同上
2885,元大金,金控,同上；c08 突破次數 15 全組最高
2887,台新新光金,金控,同上
2889,國票金,金控,同上
5876,上海商銀,銀行,同上
