月,移出,觸發,進榜,月底在榜
2018-01,85,40,86,53
2018-02,51,10,27,29
2018-03,61,35,73,41
2018-04,64,26,49,26
2018-05,48,52,78,56
2018-06,79,28,55,32
2018-07,53,13,49,28
2018-08,47,23,57,38
2018-09,48,19,55,45
2018-10,55,5,16,6
2018-11,19,9,30,17
2018-12,20,5,18,15
