掛單價,監控日,候選,成交,成交率%,折價%,等待日,報酬60D,超額,勝率%,期望值
◆T+1開盤,0,248,248,100.0,0.8,1,-11.1,-8.0,33.1,-7.95
樞紐+1.0%,5,265,173,65.3,0.18,1,-12.6,-8.3,28.3,-5.41
樞紐+1.0%,10,265,184,69.4,0.13,1,-12.4,-7.5,29.9,-5.24
樞紐+1.0%,20,265,196,74.0,0.09,1,-12.4,-8.2,29.6,-6.04
樞紐+0.5%,5,265,171,64.5,0.12,1,-12.6,-8.6,29.2,-5.57
樞紐+0.5%,10,265,181,68.3,0.01,1,-12.5,-8.1,30.4,-5.5
樞紐+0.5%,20,265,193,72.8,0.01,1,-12.5,-8.7,30.1,-6.33
樞紐±0%,5,265,167,63.0,0.0,1,-12.5,-8.2,29.9,-5.15
樞紐±0%,10,265,174,65.7,0.0,1,-12.5,-8.1,30.5,-5.33
樞紐±0%,20,265,188,70.9,0.0,1,-12.3,-8.2,30.3,-5.82
樞紐-1.0%,5,265,152,57.4,-1.0,1,-12.2,-7.7,33.6,-4.43
樞紐-1.0%,10,265,164,61.9,-1.0,1,-12.2,-7.5,34.1,-4.61
樞紐-1.0%,20,265,179,67.5,-1.0,1,-12.3,-7.7,33.5,-5.17
樞紐-2.0%,5,265,139,52.5,-2.0,1,-11.4,-7.5,33.1,-3.96
樞紐-2.0%,10,265,156,58.9,-2.0,1,-11.4,-7.6,33.3,-4.5
樞紐-2.0%,20,265,173,65.3,-2.0,1,-11.5,-7.5,32.4,-4.93
