日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,報酬20D,基準20D,報酬60D,基準60D,次日開盤,跳空%,報酬20D開,基準20D開,報酬60D開,基準60D開,月
2018-01-02,5457,宣德,電子零組件業,進榜,觸發,52.56,95.0,4.0,0,-13.3,0.1,-21.5,0.1,53.4,1.7,-14.8,0.0,-22.8,0.0,2018-01
2018-01-02,5457,宣德,電子零組件業,觸發,進榜即觸發,52.56,95.0,4.0,0,-13.3,0.1,-21.5,0.1,53.4,1.7,-14.8,0.0,-22.8,0.0,2018-01
2018-01-02,6525,捷敏-KY,半導體業,進榜,觸發,48.91,91.0,5.0,0,-11.1,0.1,-8.4,0.1,50.5,3.1,-13.8,0.0,-11.2,0.0,2018-01
2018-01-02,6525,捷敏-KY,半導體業,觸發,進榜即觸發,48.91,91.0,5.0,0,-11.1,0.1,-8.4,0.1,50.5,3.1,-13.8,0.0,-11.2,0.0,2018-01
2018-01-02,2481,強茂,半導體業,進榜,準備,27.46,94.0,3.0,0,13.9,0.1,66.7,0.1,27.8,1.2,12.5,0.0,64.6,0.0,2018-01
2018-01-02,5425,台半,半導體業,進榜,準備,54.49,94.0,3.0,0,-5.6,0.1,1.6,0.1,54.8,0.5,-6.1,0.0,1.1,0.0,2018-01
2018-01-02,2049,上銀,電機機械,進榜,準備,244.31,84.0,3.0,0,17.3,0.1,38.8,0.1,246.2,0.8,16.4,0.0,37.7,0.0,2018-01
2018-01-02,6123,上奇,電腦及週邊設備業,進榜,準備,21.1,79.0,3.0,0,21.6,0.1,17.9,0.1,21.3,1.1,20.2,0.0,16.6,0.0,2018-01
2018-01-02,2359,所羅門,其他電子業,進榜,準備,19.51,77.0,3.0,0,-1.8,0.1,-12.8,0.1,19.9,2.2,-3.8,0.0,-14.6,0.0,2018-01
2018-01-02,2534,宏盛,建材營造,觸發,等待後觸發,18.27,75.0,1.0,28,-0.4,0.1,28.7,0.1,18.4,0.6,-0.9,0.0,28.0,0.0,2018-01
2018-01-02,3090,日電貿,電子工業,觸發,等待後觸發,20.6,82.0,0.0,4,-7.2,0.1,43.1,0.1,20.8,1.2,-8.2,0.0,41.5,0.0,2018-01
2018-01-02,2888,新光金,金融保險,移出,掉出掃描母體,8.28,70.0,,20,,,,,,,,,,,2018-01
2018-01-02,2444,兆勁,通信網路業,移出,掉出掃描母體,41.58,96.0,,4,,,,,,,,,,,2018-01
2018-01-02,5536,聖暉*,其他電子類,移出,掉出掃描母體,51.65,70.0,,18,,,,,,,,,,,2018-01
2018-01-02,4971,IET-KY,半導體業,移出,掉出掃描母體,95.0,75.0,,15,,,,,,,,,,,2018-01
2018-01-03,6150,撼訊,電腦及週邊設備業,進榜,觸發,62.77,99.0,4.0,0,92.9,0.0,351.4,0.0,63.9,1.8,89.4,-0.2,343.3,-0.3,2018-01
2018-01-03,6150,撼訊,電腦及週邊設備業,觸發,進榜即觸發,62.77,99.0,4.0,0,92.9,0.0,351.4,0.0,63.9,1.8,89.4,-0.2,343.3,-0.3,2018-01
2018-01-03,5289,宜鼎,電腦及週邊設備業,進榜,準備,76.65,77.0,3.0,0,-7.7,0.0,-1.1,0.0,76.1,-0.8,-6.9,-0.2,-0.4,-0.3,2018-01
2018-01-03,8042,金山電,電子零組件業,進榜,準備,49.99,72.0,1.0,0,-0.6,0.0,-8.7,0.0,50.0,0.0,-0.6,-0.2,-8.7,-0.3,2018-01
2018-01-03,2377,微星,電子工業,進榜,準備,56.64,71.0,1.0,0,13.3,0.0,16.0,0.0,57.4,1.4,11.7,-0.2,14.4,-0.3,2018-01
2018-01-03,2327,國巨*,電子工業,觸發,等待後觸發,57.52,99.0,2.0,16,-0.5,0.0,40.1,0.0,59.3,3.1,-3.5,-0.2,35.9,-0.3,2018-01
2018-01-03,5234,達興材料,電子工業,觸發,等待後觸發,49.59,93.0,1.0,14,2.0,0.0,20.9,0.0,49.0,-1.3,3.3,-0.2,22.4,-0.3,2018-01
2018-01-03,2723,美食-KY,觀光事業,移出,掉出掃描母體,298.57,75.0,,30,,,,,,,,,,,2018-01
2018-01-03,1455,集盛,紡織纖維,移出,掉出掃描母體,10.65,77.0,,7,,,,,,,,,,,2018-01
2018-01-04,9958,世紀鋼,鋼鐵工業,進榜,觸發,23.35,99.0,2.0,0,70.5,-0.3,205.5,0.0,23.4,0.2,70.2,-0.6,205.0,-0.3,2018-01
2018-01-04,9958,世紀鋼,鋼鐵工業,觸發,進榜即觸發,23.35,99.0,2.0,0,70.5,-0.3,205.5,0.0,23.4,0.2,70.2,-0.6,205.0,-0.3,2018-01
2018-01-04,6182,合晶,半導體業,進榜,觸發,35.17,97.0,4.0,0,3.2,-0.3,-3.1,0.0,35.5,1.1,2.1,-0.6,-4.1,-0.3,2018-01
2018-01-04,6182,合晶,半導體業,觸發,進榜即觸發,35.17,97.0,4.0,0,3.2,-0.3,-3.1,0.0,35.5,1.1,2.1,-0.6,-4.1,-0.3,2018-01
2018-01-04,8176,智捷,通信網路業,進榜,觸發,18.25,94.0,2.0,0,-17.4,-0.3,-31.2,0.0,18.2,-0.5,-17.0,-0.6,-30.9,-0.3,2018-01
2018-01-04,8176,智捷,通信網路業,觸發,進榜即觸發,18.25,94.0,2.0,0,-17.4,-0.3,-31.2,0.0,18.2,-0.5,-17.0,-0.6,-30.9,-0.3,2018-01
2018-01-04,3059,華晶科,光電業,進榜,觸發,30.62,80.0,4.0,0,-10.1,-0.3,-20.5,0.0,30.8,0.6,-10.5,-0.6,-21.0,-0.3,2018-01
2018-01-04,3059,華晶科,光電業,觸發,進榜即觸發,30.62,80.0,4.0,0,-10.1,-0.3,-20.5,0.0,30.8,0.6,-10.5,-0.6,-21.0,-0.3,2018-01
2018-01-04,2456,奇力新,電子零組件業,進榜,觸發,129.21,79.0,4.0,0,-13.1,-0.3,-8.6,0.0,129.8,0.5,-13.5,-0.6,-9.0,-0.3,2018-01
2018-01-04,2456,奇力新,電子零組件業,觸發,進榜即觸發,129.21,79.0,4.0,0,-13.1,-0.3,-8.6,0.0,129.8,0.5,-13.5,-0.6,-9.0,-0.3,2018-01
2018-01-04,3533,嘉澤,電子工業,進榜,觸發,168.08,77.0,4.0,0,-16.9,-0.3,-5.5,0.0,167.7,-0.2,-16.7,-0.6,-5.3,-0.3,2018-01
2018-01-04,3533,嘉澤,電子工業,觸發,進榜即觸發,168.08,77.0,4.0,0,-16.9,-0.3,-5.5,0.0,167.7,-0.2,-16.7,-0.6,-5.3,-0.3,2018-01
2018-01-04,6290,良維,電子零組件業,進榜,準備,50.78,89.0,2.0,0,6.4,-0.3,-35.7,0.0,50.3,-1.0,7.5,-0.6,-35.0,-0.3,2018-01
2018-01-04,6213,聯茂,電子工業,進榜,準備,49.12,84.0,3.0,0,-7.7,-0.3,3.9,0.0,49.6,1.0,-8.7,-0.6,2.9,-0.3,2018-01
2018-01-04,5349,先豐,電子零組件業,進榜,準備,38.65,81.0,1.0,0,-9.6,-0.3,-23.5,0.0,39.1,1.2,-10.6,-0.6,-24.4,-0.3,2018-01
2018-01-04,5351,鈺創,半導體業,進榜,準備,29.03,76.0,2.0,0,-7.4,-0.3,-30.1,0.0,28.3,-2.4,-5.2,-0.6,-28.4,-0.3,2018-01
2018-01-04,2426,鼎元,光電業,進榜,準備,14.08,71.0,3.0,0,-0.9,-0.3,-3.1,0.0,14.2,1.1,-2.0,-0.6,-4.2,-0.3,2018-01
2018-01-04,2359,所羅門,其他電子業,觸發,等待後觸發,21.27,78.0,3.0,2,-7.4,-0.3,-18.7,0.0,21.3,0.0,-7.4,-0.6,-18.7,-0.3,2018-01
2018-01-04,1444,力麗,紡織纖維,移出,掉出掃描母體,9.95,71.0,,35,,,,,,,,,,,2018-01
2018-01-04,5392,能率,光電業,移出,掉出掃描母體,45.75,72.0,,13,,,,,,,,,,,2018-01
2018-01-04,2515,中工,建材營造,移出,掉出掃描母體,5.78,71.0,,13,,,,,,,,,,,2018-01
2018-01-04,2027,大成鋼,鋼鐵工業,移出,掉出掃描母體,10.95,73.0,,8,,,,,,,,,,,2018-01
2018-01-05,6153,嘉聯益,電子零組件業,進榜,準備,40.86,97.0,3.0,0,-6.2,-0.7,-12.1,-0.4,41.7,2.1,-8.2,-0.9,-13.9,-0.8,2018-01
2018-01-05,2027,大成鋼,鋼鐵工業,進榜,準備,11.75,78.0,2.0,0,0.2,-0.7,35.1,-0.4,11.9,1.7,-1.5,-0.9,32.8,-0.8,2018-01
2018-01-05,2408,南亞科,半導體業,進榜,準備,61.89,70.0,2.0,0,-4.7,-0.7,10.8,-0.4,62.6,1.2,-5.8,-0.9,9.5,-0.8,2018-01
2018-01-05,3018,隆銘綠能,其他電子業,觸發,等待後觸發,170.12,95.0,3.0,7,-12.9,-0.7,-10.8,-0.4,172.5,1.4,-14.1,-0.9,-12.0,-0.8,2018-01
2018-01-05,2534,宏盛,建材營造,移出,掉出掃描母體,18.24,72.0,,31,,,,,,,,,,,2018-01
2018-01-05,2426,鼎元,光電業,移出,掉出掃描母體,14.08,71.0,,1,,,,,,,,,,,2018-01
2018-01-08,6208,日揚,電子零組件業,進榜,觸發,26.85,88.0,3.0,0,-1.2,-1.4,-8.8,-0.5,26.2,-2.4,1.2,-1.5,-6.5,-0.6,2018-01
2018-01-08,6208,日揚,電子零組件業,觸發,進榜即觸發,26.85,88.0,3.0,0,-1.2,-1.4,-8.8,-0.5,26.2,-2.4,1.2,-1.5,-6.5,-0.6,2018-01
2018-01-08,5481,新華,電子零組件業,進榜,準備,32.42,95.0,2.0,0,20.6,-1.4,7.0,-0.5,32.9,1.5,18.7,-1.5,5.3,-0.6,2018-01
2018-01-08,2534,宏盛,建材營造,進榜,準備,19.1,76.0,0.0,0,-1.8,-1.4,18.8,-0.5,19.0,-0.5,-1.3,-1.5,19.5,-0.6,2018-01
2018-01-08,5534,長虹,建材營造,進榜,準備,46.17,74.0,2.0,0,-2.5,-1.4,-1.0,-0.5,46.2,0.0,-2.5,-1.5,-1.0,-0.6,2018-01
2018-01-08,1710,東聯,化學工業,進榜,準備,26.51,72.0,1.0,0,-8.0,-1.4,-0.5,-0.5,27.4,3.2,-10.9,-1.5,-3.6,-0.6,2018-01
2018-01-08,2014,中鴻,鋼鐵工業,進榜,準備,11.67,70.0,2.0,0,-4.1,-1.4,-15.3,-0.5,11.7,0.4,-4.5,-1.5,-15.6,-0.6,2018-01
2018-01-08,6123,上奇,電腦及週邊設備業,移出,掉出掃描母體,21.39,75.0,,6,,,,,,,,,,,2018-01
2018-01-08,8176,智捷,通信網路業,移出,突破失敗,16.55,92.0,,4,,,,,,,,,,,2018-01
2018-01-08,1586,和勤,電機機械,移出,逾期,36.76,80.0,,56,,,,,,,,,,,2018-01
2018-01-08,3698,隆達,光電業,移出,掉出掃描母體,25.66,81.0,,46,,,,,,,,,,,2018-01
2018-01-08,6278,台表科,光電業,移出,掉出掃描母體,23.37,75.0,,26,,,,,,,,,,,2018-01
2018-01-08,5317,?,,移出,離高點太遠,69.07,98.0,,18,,,,,,,,,,,2018-01
2018-01-08,5289,宜鼎,電腦及週邊設備業,移出,掉出掃描母體,75.77,73.0,,5,,,,,,,,,,,2018-01
2018-01-08,5351,鈺創,半導體業,移出,掉出掃描母體,27.82,72.0,,4,,,,,,,,,,,2018-01
2018-01-09,2888,新光金,金融保險,進榜,觸發,8.51,71.0,1.0,0,-8.2,-5.6,10.2,-0.4,8.6,0.5,-8.7,-5.8,9.7,-0.5,2018-01
2018-01-09,2888,新光金,金融保險,觸發,進榜即觸發,8.51,71.0,1.0,0,-8.2,-5.6,10.2,-0.4,8.6,0.5,-8.7,-5.8,9.7,-0.5,2018-01
2018-01-09,2049,上銀,電機機械,觸發,等待後觸發,261.87,87.0,3.0,7,1.5,-5.6,46.1,-0.4,262.6,0.3,1.2,-5.8,45.6,-0.5,2018-01
2018-01-09,2408,南亞科,半導體業,移出,掉出掃描母體,61.89,70.0,,4,,,,,,,,,,,2018-01
2018-01-09,3533,嘉澤,電子工業,移出,掉出掃描母體,161.93,70.0,,5,,,,,,,,,,,2018-01
2018-01-09,2456,奇力新,電子零組件業,移出,突破失敗,118.15,72.0,,5,,,,,,,,,,,2018-01
2018-01-10,1609,大亞,電器電纜,進榜,準備,10.12,98.0,3.0,0,-16.7,-4.1,6.7,-1.2,10.5,3.3,-19.4,-4.3,3.2,-1.3,2018-01
2018-01-10,2009,第一銅,鋼鐵工業,進榜,準備,13.65,90.0,2.0,0,-22.7,-4.1,-23.1,-1.2,13.6,0.0,-22.7,-4.3,-23.1,-1.3,2018-01
2018-01-10,6123,上奇,電腦及週邊設備業,進榜,準備,21.25,81.0,3.0,0,16.2,-4.1,17.5,-1.2,21.3,0.5,15.6,-4.3,17.0,-1.3,2018-01
2018-01-10,1457,宜進,紡織纖維,進榜,準備,8.11,78.0,2.0,0,-13.9,-4.1,-5.1,-1.2,8.1,0.0,-13.9,-4.3,-5.1,-1.3,2018-01
2018-01-10,2377,微星,電子工業,移出,掉出掃描母體,58.7,72.0,,7,,,,,,,,,,,2018-01
2018-01-10,6552,易華電,半導體業,移出,離高點太遠,60.05,95.0,,70,,,,,,,,,,,2018-01
2018-01-10,5425,台半,半導體業,移出,晚期未觸發,51.45,90.0,,8,,,,,,,,,,,2018-01
2018-01-10,6525,捷敏-KY,半導體業,移出,突破失敗,43.79,85.0,,8,,,,,,,,,,,2018-01
2018-01-10,1710,東聯,化學工業,移出,掉出掃描母體,26.51,70.0,,2,,,,,,,,,,,2018-01
2018-01-11,2377,微星,電子工業,進榜,準備,59.7,76.0,1.0,0,-1.7,-4.1,4.9,-0.9,60.3,1.0,-2.7,-4.3,3.9,-1.3,2018-01
2018-01-11,2426,鼎元,光電業,進榜,準備,13.83,75.0,3.0,0,-2.3,-4.1,-2.6,-0.9,13.8,0.0,-2.3,-4.3,-2.6,-1.3,2018-01
2018-01-11,3048,益登,電子通路業,進榜,準備,12.04,74.0,2.0,0,-11.1,-4.1,-17.1,-0.9,12.4,2.6,-13.3,-4.3,-19.2,-1.3,2018-01
2018-01-11,2464,盟立,其他電子業,進榜,準備,35.97,73.0,1.0,0,0.4,-4.1,-15.1,-0.9,37.0,2.9,-2.5,-4.3,-17.5,-1.3,2018-01
2018-01-11,2610,華航,航運業,進榜,準備,10.36,73.0,2.0,0,-8.3,-4.1,-17.7,-0.9,10.5,1.2,-9.3,-4.3,-18.7,-1.3,2018-01
2018-01-11,2929,淘帝-KY,貿易百貨,進榜,準備,74.42,73.0,1.0,0,-10.6,-4.1,-9.7,-0.9,75.1,0.9,-11.4,-4.3,-10.5,-1.3,2018-01
2018-01-11,2888,新光金,金融保險,移出,掉出掃描母體,8.55,74.0,,2,,,,,,,,,,,2018-01
2018-01-11,6123,上奇,電腦及週邊設備業,移出,掉出掃描母體,21.25,81.0,,1,,,,,,,,,,,2018-01
2018-01-11,8039,台虹,電子工業,移出,晚期未觸發,35.79,80.0,,22,,,,,,,,,,,2018-01
2018-01-11,5457,宣德,電子零組件業,移出,突破失敗,47.23,84.0,,9,,,,,,,,,,,2018-01
2018-01-11,3059,華晶科,光電業,移出,突破失敗,28.05,74.0,,7,,,,,,,,,,,2018-01
2018-01-12,3624,光頡,電子零組件業,進榜,準備,24.28,91.0,1.0,0,-1.0,-5.4,14.3,-0.9,25.1,3.5,-4.3,-5.8,10.4,-1.2,2018-01
2018-01-12,2809,京城銀,金融保險,進榜,準備,30.85,75.0,0.0,0,-6.2,-5.4,-15.7,-0.9,30.9,0.0,-6.2,-5.8,-15.7,-1.2,2018-01
2018-01-12,2377,微星,電子工業,移出,掉出掃描母體,59.7,76.0,,1,,,,,,,,,,,2018-01
2018-01-12,2345,智邦,通信網路業,移出,掉出掃描母體,93.06,78.0,,15,,,,,,,,,,,2018-01
2018-01-15,2455,全新,通信網路業,進榜,觸發,86.63,92.0,5.0,0,-6.9,-5.1,-0.9,-1.3,87.4,0.9,-7.8,-5.3,-1.8,-1.4,2018-01
2018-01-15,2455,全新,通信網路業,觸發,進榜即觸發,86.63,92.0,5.0,0,-6.9,-5.1,-0.9,-1.3,87.4,0.9,-7.8,-5.3,-1.8,-1.4,2018-01
2018-01-15,6215,和椿,其他電子業,進榜,觸發,18.01,90.0,3.0,0,4.8,-5.1,-15.3,-1.3,18.3,1.7,3.0,-5.3,-16.7,-1.4,2018-01
