,進榜,觸發,移出,觸發率,報酬60D中位
半導體業,89,50,93,56.0,-10.5
電子工業,63,35,74,56.0,-7.9
電子零組件業,59,33,60,56.0,-8.6
光電業,30,15,32,50.0,-9.9
貿易百貨,29,5,29,17.0,-4.5
金融保險,28,11,29,39.0,-3.6
生技醫療業,26,12,26,46.0,-8.2
其他,24,6,25,25.0,-8.8
食品工業,22,3,23,14.0,-10.1
塑膠工業,20,7,23,35.0,-5.6
建材營造,20,8,21,40.0,-3.3
化學工業,19,6,18,32.0,-4.3
電機機械,18,13,17,72.0,2.5
鋼鐵工業,18,8,19,44.0,-16.8
電腦及週邊設備業,18,9,18,50.0,-8.8
紡織纖維,14,4,16,29.0,4.3
其他電子業,14,7,15,50.0,-6.5
化學生技醫療,13,5,13,38.0,-5.2
通信網路業,13,8,14,62.0,-17.5
其他電子類,12,2,15,17.0,-5.2
水泥工業,8,1,8,12.0,-0.2
航運業,7,3,7,43.0,-12.2
資訊服務業,5,2,5,40.0,-11.5
電子通路業,5,2,5,40.0,-17.1
電器電纜,4,3,5,75.0,-3.4
文化創意業,3,3,4,100.0,-16.5
油電燃氣業,3,1,3,33.0,-10.4
造紙工業,3,1,3,33.0,-8.6
觀光事業,3,1,4,33.0,-18.4
橡膠工業,2,0,3,0.0,-7.8
,1,1,2,100.0,-2.4
