代號,名稱,產業,進榜日,進榜狀態,進榜價,進榜樞紐,進榜底部序,進榜RS,進榜VCP,停損價,目前狀態,最新價,最新RS,在榜天數,觸發日,觸發時在榜天數,觸發註記,移出日,移出原因
3374,精材,半導體業,2026-09-02,準備,419.5,431.0,3,94.0,False,396.52,準備,430.0,95.0,3,,,,2026-09-05,晚期未觸發
2486,一詮,光電業,2026-09-02,準備,288.0,288.0,2,89.0,False,264.96,觀察,256.0,82.0,3,,,,2026-09-05,離高點太遠
3504,揚明光,光電業,2026-09-02,準備,94.3,95.3,3,74.0,False,87.68,觀察,89.7,71.0,3,,,,2026-09-05,晚期未觸發
3008,大立光,光電業,2026-09-02,準備,7810.0,7995.0,3,99.0,False,7355.4,觀察,6660.0,97.0,5,,,,2026-09-07,離高點太遠
2892,第一金,金融保險,2026-09-05,觸發,37.3,37.3,1,71.0,False,34.32,觸發,37.3,71.0,2,2026-09-05,0.0,,2026-09-07,掉出掃描母體
3023,信邦,電子零組件業,2026-09-05,準備,340.0,341.5,2,70.0,True,314.18,準備,339.5,72.0,3,,,,2026-09-08,掉出掃描母體
1563,巧新,電機機械,2026-09-02,準備,66.0,67.3,3,72.0,False,61.92,觀察,77.1,87.0,6,,,,2026-09-08,晚期未觸發
3094,聯傑,半導體業,2026-09-05,觸發,46.5,46.5,3,90.0,False,42.78,觀察,41.25,86.0,3,2026-09-05,0.0,,2026-09-08,離高點太遠
