掛單價,監控日,候選,成交,成交率%,折價%,等待日,報酬60D,超額,勝率%,期望值
◆T+1開盤,0,335,335,100.0,1.5,1,0.7,-1.0,48.7,-0.95
樞紐+1.0%,5,446,228,51.1,0.63,1,-0.8,-1.7,46.9,-0.85
樞紐+1.0%,10,446,242,54.3,0.59,1,-0.5,-1.5,47.9,-0.83
樞紐+1.0%,20,446,264,59.2,0.54,1,-0.8,-1.5,47.7,-0.9
樞紐+0.5%,5,446,220,49.3,0.5,1,-1.0,-1.5,46.4,-0.76
樞紐+0.5%,10,446,235,52.7,0.49,1,-0.1,-1.1,47.7,-0.56
樞紐+0.5%,20,446,259,58.1,0.41,1,-1.1,-1.3,46.7,-0.77
樞紐±0%,5,446,212,47.5,0.0,1,-1.2,-1.7,46.7,-0.83
樞紐±0%,10,446,226,50.7,0.0,1,-0.9,-1.1,47.8,-0.57
樞紐±0%,20,446,252,56.5,0.0,1,-1.2,-1.7,46.8,-0.98
樞紐-1.0%,5,446,196,43.9,-1.0,1,-1.9,-1.6,45.4,-0.7
樞紐-1.0%,10,446,208,46.6,-1.0,1,-1.2,-0.9,47.6,-0.42
樞紐-1.0%,20,446,238,53.4,-1.0,1,-1.9,-1.4,46.6,-0.73
樞紐-2.0%,5,446,179,40.1,-2.0,1,-3.4,-2.2,43.0,-0.88
樞紐-2.0%,10,446,196,43.9,-2.0,1,-1.9,-0.9,46.4,-0.38
樞紐-2.0%,20,446,225,50.4,-2.0,1,-2.5,-1.0,46.2,-0.48
