,進榜,觸發,移出,觸發率,報酬60D中位
電子工業,182,82,174,45.0,3.8
半導體業,174,64,158,37.0,7.9
電子零組件業,71,42,66,59.0,3.8
電腦及週邊設備業,58,29,58,50.0,8.8
通信網路業,54,30,51,56.0,1.2
電機機械,53,35,55,66.0,1.0
其他,37,23,39,62.0,1.7
生技醫療業,37,18,39,49.0,-7.8
資訊服務業,36,18,36,50.0,-2.4
光電業,36,15,33,42.0,-7.7
汽車工業,30,11,30,37.0,5.2
化學生技醫療,25,10,28,40.0,0.8
其他電子類,24,10,23,42.0,-0.4
其他電子業,24,9,23,38.0,4.9
觀光事業,22,15,28,68.0,-4.4
航運業,19,8,18,42.0,1.0
鋼鐵工業,13,2,13,15.0,17.8
電器電纜,13,5,13,38.0,-4.1
建材營造,12,4,11,33.0,-9.8
文化創意業,8,5,9,62.0,-9.4
化學工業,6,5,5,83.0,82.9
油電燃氣業,3,0,3,0.0,-16.4
玻璃陶瓷,2,1,2,50.0,-9.4
金融保險,2,1,2,50.0,3.7
造紙工業,2,1,2,50.0,-15.3
橡膠工業,2,0,2,0.0,
紡織纖維,2,0,2,0.0,21.7
電子通路業,2,2,2,100.0,17.9
塑膠工業,1,0,1,0.0,
水泥工業,1,0,1,0.0,-5.1
貿易百貨,1,1,3,100.0,-12.5
