日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,樞紐,報酬20D,基準20D,報酬60D,基準60D,報酬120D,基準120D,報酬180D,基準180D,次日開盤,跳空%,報酬20D開,基準20D開,報酬60D開,基準60D開,報酬120D開,基準120D開,報酬180D開,基準180D開,月
2023-01-03,4763,材料*-KY,化學工業,進榜,觸發,13.58,97.0,5.0,0,,46.3,3.6,140.9,11.1,269.3,14.0,553.0,12.1,13.6,0.0,46.3,3.6,140.9,10.9,269.3,13.7,553.0,12.3,2023-01
2023-01-03,4763,材料*-KY,化學工業,觸發,進榜即觸發,13.58,97.0,5.0,0,13.58,46.3,3.6,140.9,11.1,269.3,14.0,553.0,12.1,13.6,0.0,46.3,3.6,140.9,10.9,269.3,13.7,553.0,12.3,2023-01
2023-01-03,9939,宏全,其他,移出,掉出掃描母體,73.17,71.0,,4,,,,,,,,,,,,,,,,,,,,2023-01
2023-01-03,4114,健喬,生技醫療業,移出,離高點太遠,29.49,93.0,,43,,,,,,,,,,,,,,,,,,,,2023-01
2023-01-03,2748,雲品,觀光事業,移出,突破失敗,50.09,79.0,,6,,,,,,,,,,,,,,,,,,,,2023-01
2023-01-04,3704,合勤控,通信網路業,進榜,觸發,35.14,93.0,2.0,0,,4.5,3.4,4.7,11.5,50.2,13.2,29.1,11.3,35.2,0.1,4.3,3.1,4.6,11.0,50.0,13.1,28.9,10.9,2023-01
2023-01-04,3704,合勤控,通信網路業,觸發,進榜即觸發,35.14,93.0,2.0,0,35.14,4.5,3.4,4.7,11.5,50.2,13.2,29.1,11.3,35.2,0.1,4.3,3.1,4.6,11.0,50.0,13.1,28.9,10.9,2023-01
2023-01-04,1707,葡萄王,化學生技醫療,進榜,準備,139.28,82.0,1.0,0,,0.9,3.4,10.4,11.5,0.4,13.2,-7.1,11.3,139.7,0.3,0.6,3.1,10.1,11.0,0.1,13.1,-7.3,10.9,2023-01
2023-01-04,1519,華城,電機機械,觸發,等待後觸發,41.27,95.0,2.0,9,36.47,-7.8,3.4,68.6,11.5,216.0,13.2,412.1,11.3,42.6,3.3,-10.8,3.1,63.2,11.0,205.9,13.1,395.8,10.9,2023-01
2023-01-05,2748,雲品,觀光事業,進榜,準備,56.49,91.0,3.0,0,,25.0,3.9,48.6,11.1,29.6,13.8,9.7,11.8,56.5,0.0,25.0,3.9,48.6,11.3,29.6,14.0,9.7,11.7,2023-01
