月,移出,觸發,進榜,月底在榜
2023-01,20,14,23,30
2023-02,37,32,72,65
2023-03,100,49,108,73
2023-04,89,29,65,49
2023-05,73,48,99,75
2023-06,98,41,103,80
2023-07,138,70,121,63
2023-08,77,21,60,46
2023-09,64,27,64,46
2023-10,82,22,63,27
2023-11,55,44,98,70
2023-12,97,49,76,49
