,進榜,觸發,移出,觸發率,報酬60D中位
半導體業,197,145,203,74.0,5.0
電子工業,128,78,135,61.0,2.0
電子零組件業,56,35,53,62.0,-7.2
航運業,52,44,58,85.0,25.7
鋼鐵工業,46,35,53,76.0,1.4
光電業,39,30,39,77.0,0.9
金融保險,31,4,30,13.0,7.4
生技醫療業,25,17,28,68.0,6.8
其他,23,15,23,65.0,4.1
其他電子業,23,9,22,39.0,-4.4
塑膠工業,21,15,23,71.0,10.3
通信網路業,20,17,20,85.0,-3.8
化學工業,20,15,20,75.0,14.6
其他電子類,17,12,19,71.0,-6.9
紡織纖維,16,7,16,44.0,7.4
汽車工業,14,5,15,36.0,-9.3
電機機械,14,7,15,50.0,-8.0
電腦及週邊設備業,13,9,14,69.0,-10.9
貿易百貨,10,8,10,80.0,34.4
電器電纜,8,5,8,62.0,-5.5
造紙工業,7,5,7,71.0,-4.3
觀光事業,6,1,6,17.0,-5.6
建材營造,5,1,4,20.0,-6.3
化學生技醫療,5,3,4,60.0,-23.2
電子通路業,5,3,5,60.0,-0.1
橡膠工業,5,4,5,80.0,8.6
食品工業,4,1,4,25.0,
文化創意業,3,3,2,100.0,29.9
金融業,3,2,3,67.0,-4.8
玻璃陶瓷,3,3,4,100.0,53.9
水泥工業,1,0,1,0.0,
電子商務業,1,0,1,0.0,
