代號,名稱,產業,進榜次數,首次進榜,報酬60D,觸發次數
8150,南茂,電子工業,8,2021-03-23,7.45,1
2883,凱基金,金融保險,8,2021-05-10,5.050000000000001,1
2476,鉅祥,電子零組件業,7,2021-04-07,22.4,2
3141,晶宏,半導體業,6,2021-01-25,28.85,5
3711,日月光投控,半導體業,6,2021-01-06,6.6,4
2204,中華,汽車工業,6,2021-03-30,3.6,1
3036,文曄,電子工業,6,2021-07-16,0.3,0
8454,富邦媒,貿易百貨,5,2021-02-18,81.8,4
5608,四維航,航運業,5,2021-03-16,44.0,3
3003,健和興,電子工業,5,2021-01-18,38.1,3
2641,正德,航運業,5,2021-03-18,34.5,4
6411,晶焱,半導體業,5,2021-03-16,26.6,3
6138,茂達,半導體業,5,2021-03-15,23.3,5
2486,一詮,光電業,5,2021-02-22,21.9,5
6472,保瑞,生技醫療業,5,2021-03-10,9.7,4
2855,統一證,金融保險,5,2021-01-08,8.0,1
2454,聯發科,半導體業,5,2021-01-13,5.5,0
5871,中租-KY,其他,5,2021-03-17,4.1,2
3169,亞信,半導體業,5,2021-01-27,0.0,4
2723,美食-KY,觀光事業,5,2021-03-04,-3.4,1
6409,旭隼,其他電子業,5,2021-01-12,-5.3,2
8054,安國,半導體業,5,2021-02-26,-10.85,4
6706,惠特,光電業,5,2021-10-20,,1
2615,萬海,航運業,4,2021-03-22,170.64999999999998,4
1727,中華化,化學工業,4,2021-09-13,73.4,2
8924,大田,其他,4,2021-02-05,62.7,4
4919,新唐,半導體業,4,2021-04-12,58.1,2
3035,智原,半導體業,4,2021-05-04,45.45,3
2603,長榮,航運業,4,2021-03-18,41.05,2
3707,漢磊,半導體業,4,2021-01-04,39.15,4
3529,力旺,半導體業,4,2021-02-18,35.65,4
2605,新興,航運業,4,2021-03-22,27.05,2
1313,聯成,塑膠工業,4,2021-02-23,25.95,2
8016,矽創,半導體業,4,2021-02-26,21.95,3
3545,敦泰,電子工業,4,2021-01-14,20.5,4
1409,新纖,紡織纖維,4,2021-01-05,17.9,2
6104,創惟,半導體業,4,2021-07-26,16.55,2
2027,大成鋼,鋼鐵工業,4,2021-02-25,16.3,2
2314,台揚,通信網路業,4,2021-01-19,16.1,4
1304,台聚,塑膠工業,4,2021-02-18,15.65,4
2881,富邦金,金融保險,4,2021-05-03,15.1,1
5371,中光電,光電業,4,2021-02-17,14.8,3
1305,華夏,塑膠工業,4,2021-01-07,12.4,3
3317,尼克森,半導體業,4,2021-02-22,10.65,2
3551,世禾,其他電子類,4,2021-10-04,7.2,1
8040,九暘,半導體業,4,2021-03-11,7.1,2
2351,順德,電子工業,4,2021-06-07,-0.5499999999999998,1
5285,界霖,電子工業,4,2021-02-26,-1.8,3
3305,昇貿,其他電子業,4,2021-03-29,-4.5,3
2340,台亞,光電業,4,2021-07-26,-6.8,4
2441,超豐,半導體業,4,2021-01-20,-10.399999999999999,1
2354,鴻準,其他電子業,4,2021-01-18,-12.35,0
3689,湧德,電子零組件業,4,2021-09-09,-12.9,1
6485,點序,半導體業,4,2021-03-11,-17.35,2
6531,愛普*,半導體業,4,2021-01-13,-18.1,3
1229,聯華,食品工業,4,2021-10-08,,1
2059,川湖,電子工業,4,2021-10-26,,0
2636,台驊控股,航運業,3,2021-04-21,107.7,3
1905,華紙,造紙工業,3,2021-04-06,81.2,2
2009,第一銅,鋼鐵工業,3,2021-02-22,75.6,2
6712,長聖,生技醫療業,3,2021-02-18,58.2,2
1802,台玻,玻璃陶瓷,3,2021-02-25,53.9,3
3034,聯詠,半導體業,3,2021-01-06,52.8,1
2030,彰源,鋼鐵工業,3,2021-05-10,42.0,3
2457,飛宏,電子工業,3,2021-03-17,30.799999999999997,3
3504,揚明光,光電業,3,2021-08-25,28.8,3
6457,紘康,半導體業,3,2021-02-18,25.6,1
3189,景碩,半導體業,3,2021-06-22,24.25,3
6494,九齊,半導體業,3,2021-03-30,23.9,3
8261,富鼎,半導體業,3,2021-03-15,21.4,3
3527,聚積,半導體業,3,2021-07-14,20.5,2
2436,偉詮電,半導體業,3,2021-04-15,17.049999999999997,3
2890,永豐金,金融保險,3,2021-10-06,16.2,0
8021,尖點,其他電子業,3,2021-03-04,15.4,1
8046,南電,電子工業,3,2021-03-30,14.55,3
5483,中美晶,半導體業,3,2021-03-30,13.350000000000001,2
2028,威致,鋼鐵工業,3,2021-04-16,12.9,2
1308,亞聚,塑膠工業,3,2021-04-16,12.4,3
1455,集盛,紡織纖維,3,2021-04-15,12.2,2
3037,欣興,電子工業,3,2021-06-03,12.05,4
6586,醣基,生技醫療業,3,2021-09-06,10.55,0
2823,中壽,金融保險,3,2021-10-04,10.0,0
6182,合晶,半導體業,3,2021-04-23,9.2,2
2103,台橡,橡膠工業,3,2021-02-19,8.65,2
2369,菱生,電子工業,3,2021-01-13,7.6,3
3260,威剛,半導體業,3,2021-02-22,6.7,2
1815,富喬,電子零組件業,3,2021-02-19,4.8,3
1476,儒鴻,紡織纖維,3,2021-05-06,3.85,0
8255,朋程,電機機械,3,2021-02-22,2.8499999999999996,1
6547,高端疫苗,生技醫療業,3,2021-02-17,2.6,3
3033,威健,電子工業,3,2021-09-14,1.5,2
5351,鈺創,半導體業,3,2021-03-02,1.3,3
3048,益登,電子通路業,3,2021-03-15,-0.1,2
3587,閎康,其他電子類,3,2021-04-01,-0.4,3
8215,明基材,光電業,3,2021-01-04,-1.6999999999999993,2
2618,長榮航,航運業,3,2021-04-21,-2.35,2
2038,海光,鋼鐵工業,3,2021-04-08,-5.1,3
2338,光罩,半導體業,3,2021-02-17,-5.4,3
6005,群益證,金融保險,3,2021-01-07,-8.2,0
2379,瑞昱,半導體業,3,2021-01-20,-8.7,0
2642,宅配通,航運業,3,2021-05-27,-10.1,3
5439,高技,電子零組件業,3,2021-02-18,-11.0,0
3014,聯陽,半導體業,3,2021-04-09,-11.2,3
3605,宏致,電子工業,3,2021-01-04,-11.9,2
2013,中鋼構,鋼鐵工業,3,2021-03-10,-13.2,2
3264,欣銓,半導體業,3,2021-01-20,-16.4,1
2408,南亞科,半導體業,3,2021-01-04,-16.5,1
3419,譁裕,電子工業,3,2021-02-18,-17.3,2
3443,創意,半導體業,3,2021-01-13,-17.75,3
3622,洋華,光電業,3,2021-01-07,-18.4,2
1608,華榮,電器電纜,3,2021-04-20,-22.9,3
3006,晶豪科,電子工業,3,2021-02-22,-23.0,3
3138,耀登,通信網路業,3,2021-01-07,-29.9,2
5222,全訊,電子工業,3,2021-11-01,,1
8155,博智,電子零組件業,3,2021-11-01,,1
2609,陽明,航運業,2,2021-03-15,119.75,2
2014,中鴻,鋼鐵工業,2,2021-02-23,82.4,2
2637,慧洋-KY,航運業,2,2021-03-19,65.8,2
2023,燁輝,鋼鐵工業,2,2021-04-15,62.449999999999996,2
3592,瑞鼎,電子工業,2,2021-01-25,62.00000000000001,2
4721,美琪瑪,化學工業,2,2021-08-16,61.5,2
6491,晶碩,生技醫療業,2,2021-02-05,58.05,1
6116,彩晶,電子工業,2,2021-02-23,47.6,1
6509,聚和,化學工業,2,2021-06-29,46.8,2
4961,天鈺,電子工業,2,2021-02-04,42.55,2
2010,春源,鋼鐵工業,2,2021-04-15,39.8,1
1440,南紡,紡織纖維,2,2021-03-26,36.15,2
2617,台航,航運業,2,2021-04-19,34.15,2
9945,潤泰新,其他,2,2021-07-09,33.75,1
8299,群聯,半導體業,2,2021-01-21,30.900000000000002,1
3687,歐買尬,文化創意業,2,2021-06-16,29.9,2
2915,潤泰全,貿易百貨,2,2021-08-30,26.9,1
2467,志聖,電子工業,2,2021-01-07,25.75,2
8183,精星,其他電子類,2,2021-02-18,23.95,2
2465,麗臺,電腦及週邊設備業,2,2021-04-07,23.2,2
8936,國統,其他,2,2021-01-04,23.05,1
2401,凌陽,半導體業,2,2021-01-11,22.700000000000003,2
4739,康普,化學工業,2,2021-06-25,21.7,2
2007,燁興,鋼鐵工業,2,2021-06-29,17.05,2
2601,益航,貿易百貨,2,2021-04-21,15.95,2
2006,東和鋼鐵,鋼鐵工業,2,2021-03-04,15.9,0
6283,淳安,其他電子業,2,2021-01-06,14.600000000000001,1
9941,裕融,其他,2,2021-08-23,14.5,2
3675,德微,半導體業,2,2021-07-22,14.0,1
5014,建錩,鋼鐵工業,2,2021-01-29,12.75,2
1612,宏泰,電器電纜,2,2021-02-25,12.5,1
2606,裕民,航運業,2,2021-04-20,12.25,2
6237,驊訊,半導體業,2,2021-03-16,10.6,2
6129,普誠,半導體業,2,2021-02-24,9.850000000000001,1
6202,盛群,半導體業,2,2021-06-10,8.55,2
1907,永豐餘,造紙工業,2,2021-02-23,8.5,2
3588,通嘉,半導體業,2,2021-03-24,7.9,2
1711,永光,化學工業,2,2021-09-14,7.4,2
6756,威鋒電子,半導體業,2,2021-09-02,7.2,1
6589,台康生技,生技醫療業,2,2021-03-25,6.550000000000001,2
4760,勤凱,其他電子類,2,2021-01-08,5.25,2
8182,加高,電子零組件業,2,2021-06-23,4.3,1
2022,聚亨,鋼鐵工業,2,2021-05-10,4.2,2
2887,台新新光金,金融保險,2,2021-08-30,3.05,1
1309,台達化,塑膠工業,2,2021-03-08,2.85,2
2428,興勤,電子工業,2,2021-01-12,2.4,0
2031,新光鋼,鋼鐵工業,2,2021-04-20,2.3999999999999986,1
6233,旺玖,半導體業,2,2021-01-13,1.6999999999999993,2
2231,為升,汽車工業,2,2021-01-07,0.9500000000000002,1
2882,國泰金,金融保險,2,2021-09-16,0.8,0
2357,華碩,電子工業,2,2021-03-18,-0.39999999999999947,1
2329,華泰,半導體業,2,2021-01-05,-0.4500000000000002,1
2108,南帝,橡膠工業,2,2021-03-31,-0.9500000000000028,2
2317,鴻海,其他電子業,2,2021-01-14,-1.5,0
5274,信驊,半導體業,2,2021-01-06,-2.9,2
6279,胡連,電子零組件業,2,2021-01-04,-2.9,1
2363,矽統,半導體業,2,2021-04-23,-3.05,2
8110,華東,電子工業,2,2021-04-21,-3.25,2
3010,華立,電子工業,2,2021-01-25,-3.5,1
2355,敬鵬,電子工業,2,2021-01-07,-3.9,0
6488,環球晶,半導體業,2,2021-02-22,-4.1,2
2344,華邦電,半導體業,2,2021-02-05,-4.1000000000000005,2
2612,中航,航運業,2,2021-06-18,-4.150000000000002,2
2415,錩新,電子工業,2,2021-02-18,-4.550000000000001,2
8390,金益鼎,其他,2,2021-02-23,-5.35,1
6127,九豪,電子零組件業,2,2021-03-22,-6.0,2
6282,康舒,電子零組件業,2,2021-01-07,-7.0,1
2489,瑞軒,光電業,2,2021-03-18,-7.1499999999999995,1
2484,希華,電子工業,2,2021-06-25,-7.6,2
2049,上銀,電機機械,2,2021-01-05,-7.75,0
2371,大同,電機機械,2,2021-09-23,-8.3,1
5347,世界,半導體業,2,2021-01-13,-8.5,2
6203,海韻電,電子零組件業,2,2021-02-23,-8.85,2
5299,杰力,半導體業,2,2021-03-29,-10.149999999999999,2
4912,聯德控股-KY,電子工業,2,2021-03-17,-10.55,2
