月,移出,觸發,進榜,月底在榜
2021-01,116,41,78,34
2021-02,43,46,76,67
2021-03,102,69,119,84
2021-04,116,76,101,69
2021-05,93,22,38,14
2021-06,53,79,99,60
2021-07,107,54,69,22
2021-08,32,19,28,18
2021-09,36,25,37,19
2021-10,32,27,57,44
2021-11,69,39,57,32
2021-12,51,41,62,43
