掛單價,監控日,候選,成交,成交率%,折價%,等待日,報酬60D,超額,勝率%,期望值
◆T+1開盤,0,432,432,100.0,1.75,1,-1.4,-1.5,46.8,-1.51
樞紐+1.0%,5,538,326,60.6,1.0,1,-1.8,-3.4,45.4,-2.08
樞紐+1.0%,10,538,343,63.8,1.0,1,-1.4,-3.4,45.5,-2.16
樞紐+1.0%,20,538,366,68.0,1.0,1,-1.1,-2.8,46.4,-1.88
樞紐+0.5%,5,538,314,58.4,0.5,1,-2.0,-3.3,44.6,-1.9
樞紐+0.5%,10,538,332,61.7,0.5,1,-1.4,-3.1,44.6,-1.9
樞紐+0.5%,20,538,359,66.7,0.5,1,-0.8,-2.8,46.0,-1.86
樞紐±0%,5,538,307,57.1,0.0,1,-1.2,-3.4,45.9,-1.93
樞紐±0%,10,538,327,60.8,0.0,1,-1.3,-2.8,45.9,-1.73
樞紐±0%,20,538,356,66.2,0.0,1,-1.1,-2.4,46.9,-1.62
樞紐-1.0%,5,538,285,53.0,-1.0,1,-3.2,-3.2,46.0,-1.7
樞紐-1.0%,10,538,308,57.2,-1.0,1,-2.1,-2.4,46.8,-1.37
樞紐-1.0%,20,538,336,62.5,-1.0,1,-0.5,-1.3,47.9,-0.8
樞紐-2.0%,5,538,266,49.4,-2.0,1,-2.6,-2.4,46.2,-1.19
樞紐-2.0%,10,538,294,54.6,-2.0,1,-1.8,-1.7,48.3,-0.91
樞紐-2.0%,20,538,323,60.0,-2.0,1,-0.2,-0.4,49.2,-0.25
