代號,名稱,產業,進榜次數,首次進榜,報酬60D,觸發次數
3231,緯創,電子工業,10,2019-06-26,14.7,1
4119,旭富,化學生技醫療,9,2019-03-07,6.7,1
3044,健鼎,電子工業,8,2019-04-10,13.55,2
1504,東元,電機機械,8,2019-07-01,12.850000000000001,0
9910,豐泰,其他,8,2019-01-03,2.1,1
9914,美利達,其他,8,2019-01-21,-5.8,1
6121,新普,電腦及週邊設備業,7,2019-01-10,16.2,1
5274,信驊,半導體業,7,2019-08-14,8.9,1
6409,旭隼,其他電子業,7,2019-03-04,7.65,0
8213,志超,電子工業,7,2019-02-18,-2.7,1
2108,南帝,橡膠工業,7,2019-03-13,-7.5,1
2633,台灣高鐵,航運業,6,2019-01-15,20.75,2
6426,統新,通信網路業,6,2019-02-22,14.1,3
3491,昇達科,通信網路業,6,2019-01-16,11.6,4
6486,互動,通信網路業,6,2019-05-21,8.1,0
1227,佳格,食品工業,6,2019-06-17,7.300000000000001,0
6257,矽格,半導體業,6,2019-09-02,3.4,0
2344,華邦電,半導體業,6,2019-07-16,2.0,1
2345,智邦,通信網路業,5,2019-03-20,37.5,4
3324,雙鴻,其他電子類,5,2019-01-07,31.049999999999997,4
6176,瑞儀,光電業,5,2019-01-10,16.65,2
3227,原相,半導體業,5,2019-09-09,14.8,0
2449,京元電子,半導體業,5,2019-05-15,14.1,1
2338,光罩,半導體業,5,2019-08-29,5.7,1
2884,玉山金,金融保險,5,2019-05-24,5.15,3
2301,光寶科,電腦及週邊設備業,5,2019-01-09,3.0,3
2395,研華,電子工業,5,2019-03-14,2.3,0
3376,新日興,電子零組件業,5,2019-02-18,2.1,3
1229,聯華,食品工業,5,2019-07-05,-3.2,1
9935,慶豐富,其他,4,2019-07-31,63.55,2
3338,泰碩,電子工業,4,2019-01-08,44.900000000000006,2
2207,和泰車,汽車工業,4,2019-03-27,39.0,3
9802,鈺齊-KY,其他,4,2019-04-15,33.9,1
6415,矽力*-KY,半導體業,4,2019-08-01,32.2,1
4958,臻鼎-KY,電子零組件業,4,2019-01-25,31.6,1
4728,雙美,生技醫療業,4,2019-02-15,21.5,3
6288,聯嘉,汽車工業,4,2019-09-16,20.4,1
3037,欣興,電子工業,4,2019-02-13,19.7,2
5483,中美晶,半導體業,4,2019-10-01,18.7,1
2385,群光,電子工業,4,2019-05-31,18.2,2
8210,勤誠,電子工業,4,2019-02-11,16.35,2
8016,矽創,半導體業,4,2019-02-12,15.55,3
4536,拓凱,其他,4,2019-01-02,15.399999999999999,2
3023,信邦,電子零組件業,4,2019-03-18,14.450000000000001,2
5289,宜鼎,電腦及週邊設備業,4,2019-08-06,14.3,0
3711,日月光投控,半導體業,4,2019-08-23,13.55,1
5434,崇越,電子工業,4,2019-08-02,12.8,2
2520,冠德,建材營造,4,2019-06-19,11.4,0
2101,南港,橡膠工業,4,2019-03-08,10.649999999999999,1
2501,國建,建材營造,4,2019-01-23,10.15,1
6269,台郡,電子工業,4,2019-07-31,9.45,1
3056,富華新,建材營造,4,2019-07-23,8.3,1
1507,永大,電機機械,4,2019-03-07,6.8999999999999995,1
2834,臺企銀,金融保險,4,2019-01-07,6.55,1
4142,國光生,化學生技醫療,4,2019-08-27,6.0,1
6271,同欣電,半導體業,4,2019-07-23,5.65,0
6462,神盾,半導體業,4,2019-02-11,2.4,3
4107,邦特,生技醫療業,4,2019-06-05,2.2,2
3169,亞信,半導體業,4,2019-03-08,0.75,2
8039,台虹,電子工業,4,2019-07-19,0.1,1
1464,得力,紡織纖維,4,2019-06-24,-1.1,1
2890,永豐金,金融保險,4,2019-06-24,-1.5,1
2383,台光電,電子工業,4,2019-03-14,-2.3,1
3042,晶技,電子工業,4,2019-08-22,-3.0,0
6217,中探針,電子零組件業,4,2019-07-01,-3.8,0
6558,興能高,其他電子業,4,2019-01-14,-3.9,3
3092,鴻碩,電子零組件業,4,2019-05-08,-4.75,0
2439,美律,通信網路業,4,2019-03-04,-9.85,1
2929,淘帝-KY,貿易百貨,4,2019-10-15,,0
6155,鈞寶,電子零組件業,4,2019-10-17,,2
6488,環球晶,半導體業,4,2019-10-21,,0
6278,台表科,光電業,3,2019-01-21,40.15,3
2387,精元,電子工業,3,2019-07-09,40.1,1
6472,保瑞,生技醫療業,3,2019-06-20,34.2,1
6669,緯穎,電子工業,3,2019-08-08,29.0,0
3653,健策,電子工業,3,2019-01-09,28.75,3
6290,良維,電子零組件業,3,2019-07-12,27.7,1
6679,鈺太,半導體業,3,2019-06-26,26.9,2
8358,金居,電子零組件業,3,2019-08-07,24.8,1
3038,全台,光電業,3,2019-05-08,23.0,1
8081,致新,半導體業,3,2019-05-03,21.9,1
4551,智伸科,汽車工業,3,2019-08-23,20.6,1
3483,力致,電腦及週邊設備業,3,2019-02-18,20.4,2
9946,三發地產,建材營造,3,2019-07-03,17.8,1
2404,漢唐,其他電子業,3,2019-01-11,13.4,3
3014,聯陽,半導體業,3,2019-09-18,10.95,0
3217,優群,電子零組件業,3,2019-05-02,10.6,1
3029,零壹,資訊服務業,3,2019-05-02,9.1,1
6412,群電,電子工業,3,2019-08-19,8.9,1
3558,神準,通信網路業,3,2019-09-06,8.2,1
5876,上海商銀,金融保險,3,2019-01-15,7.6,3
3260,威剛,半導體業,3,2019-09-03,6.85,1
4942,嘉彰,光電業,3,2019-01-21,6.1,0
6274,台燿,電子零組件業,3,2019-06-28,5.7,1
5871,中租-KY,其他,3,2019-03-18,4.2,1
6224,聚鼎,電子零組件業,3,2019-08-22,3.9,0
2548,華固,建材營造,3,2019-05-24,3.7,0
2812,台中銀,金融保險,3,2019-06-05,3.3,1
1477,聚陽,紡織纖維,3,2019-01-02,3.0,0
9941,裕融,其他,3,2019-06-19,2.6,1
