月,移出,觸發,進榜,月底在榜
2019-01,24,24,48,39
2019-02,26,19,36,49
2019-03,52,22,51,48
2019-04,61,16,51,38
2019-05,49,9,43,32
2019-06,38,22,69,63
2019-07,111,43,126,78
2019-08,89,39,90,79
2019-09,99,27,86,66
2019-10,87,43,98,77
2019-11,95,27,76,58
2019-12,84,23,93,67
