,進榜,觸發,移出,觸發率,報酬60D中位
電子工業,149,52,139,35.0,8.4
半導體業,148,53,129,36.0,8.8
電子零組件業,90,37,82,41.0,2.1
通信網路業,60,28,59,47.0,0.3
其他,49,12,48,24.0,4.2
電腦及週邊設備業,36,12,36,33.0,4.6
光電業,34,17,32,50.0,6.1
生技醫療業,28,15,28,54.0,4.8
建材營造,27,5,24,19.0,6.7
電機機械,26,5,30,19.0,2.3
其他電子業,25,10,24,40.0,4.3
金融保險,24,13,23,54.0,3.0
化學生技醫療,22,6,22,27.0,3.7
汽車工業,21,6,18,29.0,6.3
其他電子類,20,8,17,40.0,-2.4
食品工業,15,4,15,27.0,2.2
資訊服務業,13,6,13,46.0,-3.4
橡膠工業,12,2,12,17.0,-5.0
紡織纖維,12,3,12,25.0,-6.7
航運業,11,4,10,36.0,9.0
文化創意業,11,5,9,45.0,0.8
化學工業,9,1,10,11.0,-5.9
貿易百貨,9,1,8,11.0,5.0
鋼鐵工業,4,3,4,75.0,-7.9
水泥工業,4,3,3,75.0,0.6
電子通路業,3,1,3,33.0,-22.8
觀光事業,3,2,3,67.0,2.6
油電燃氣業,1,0,1,0.0,-4.1
電器電纜,1,0,1,0.0,16.2
