掛單價,監控日,候選,成交,成交率%,折價%,等待日,報酬60D,超額,勝率%,期望值
◆T+1開盤,0,225,225,100.0,0.45,1,2.8,1.7,55.1,1.71
樞紐+1.0%,5,314,140,44.6,0.01,1,1.5,-1.2,47.9,-0.54
樞紐+1.0%,10,314,151,48.1,-0.0,1,1.5,-1.4,47.7,-0.68
樞紐+1.0%,20,314,164,52.2,-0.0,1,2.1,0.6,50.6,0.3
樞紐+0.5%,5,314,136,43.3,-0.0,1,1.5,-1.5,47.1,-0.66
樞紐+0.5%,10,314,145,46.2,-0.0,1,1.5,-1.4,47.6,-0.67
樞紐+0.5%,20,314,159,50.6,-0.0,1,2.0,-0.5,49.7,-0.24
樞紐±0%,5,314,131,41.7,-0.0,1,1.5,-1.2,46.6,-0.51
樞紐±0%,10,314,140,44.6,-0.0,1,1.5,-1.1,47.1,-0.5
樞紐±0%,20,314,155,49.4,-0.0,1,2.2,-1.0,49.0,-0.47
樞紐-1.0%,5,314,116,36.9,-1.0,1,1.7,-0.8,47.4,-0.29
樞紐-1.0%,10,314,124,39.5,-1.0,1,2.2,-0.2,49.2,-0.08
樞紐-1.0%,20,314,141,44.9,-1.0,1,1.7,-0.1,49.6,-0.05
樞紐-2.0%,5,314,93,29.6,-2.0,1,-0.4,-0.9,47.3,-0.25
樞紐-2.0%,10,314,102,32.5,-2.0,2,0.2,-0.2,49.0,-0.06
樞紐-2.0%,20,314,124,39.5,-2.0,2,1.8,0.2,51.6,0.06
