日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,報酬20D,基準20D,報酬60D,基準60D,次日開盤,跳空%,報酬20D開,基準20D開,報酬60D開,基準60D開,月
2019-01-02,4736,泰博,生技醫療業,進榜,觸發,100.51,95.0,4.0,0,-1.4,2.1,-6.8,9.1,100.5,0.0,-1.4,2.2,-6.8,9.0,2019-01
2019-01-02,4736,泰博,生技醫療業,觸發,進榜即觸發,100.51,95.0,4.0,0,-1.4,2.1,-6.8,9.1,100.5,0.0,-1.4,2.2,-6.8,9.0,2019-01
2019-01-02,4536,拓凱,其他,進榜,準備,76.82,94.0,2.0,0,22.3,2.1,32.3,9.1,75.4,-1.8,24.5,2.2,34.7,9.0,2019-01
2019-01-02,1477,聚陽,紡織纖維,進榜,準備,107.42,93.0,3.0,0,8.9,2.1,20.1,9.1,108.0,0.6,8.3,2.2,19.4,9.0,2019-01
2019-01-02,6285,啟碁,通信網路業,進榜,準備,59.45,89.0,1.0,0,-6.8,2.1,-1.2,9.1,58.9,-1.0,-5.9,2.2,-0.2,9.0,2019-01
2019-01-02,2501,國建,建材營造,移出,掉出掃描母體,13.56,91.0,,61,,,,,,,,,,,2019-01
2019-01-03,9910,豐泰,其他,進榜,準備,101.32,89.0,2.0,0,3.1,2.8,22.3,9.1,100.3,-1.0,4.2,3.3,23.6,9.5,2019-01
2019-01-03,8038,長園科,電子零組件業,觸發,等待後觸發,68.37,100.0,2.0,9,-11.5,2.8,-5.4,9.1,66.8,-2.3,-9.4,3.3,-3.2,9.5,2019-01
2019-01-03,4958,臻鼎-KY,電子零組件業,移出,掉出掃描母體,58.45,93.0,,51,,,,,,,,,,,2019-01
2019-01-04,3176,基亞,生技醫療業,進榜,準備,52.0,98.0,2.0,0,10.0,3.9,53.8,9.9,53.5,2.9,6.9,3.1,49.5,8.8,2019-01
2019-01-04,3491,昇達科,通信網路業,移出,掉出掃描母體,59.49,77.0,,35,,,,,,,,,,,2019-01
2019-01-04,6176,瑞儀,光電業,移出,掉出掃描母體,62.88,97.0,,22,,,,,,,,,,,2019-01
2019-01-04,3338,泰碩,電子工業,移出,離高點太遠,23.22,98.0,,11,,,,,,,,,,,2019-01
2019-01-07,3324,雙鴻,其他電子類,進榜,準備,84.79,99.0,2.0,0,36.3,3.1,43.8,8.8,85.6,1.0,35.0,2.9,42.4,8.7,2019-01
