,進榜,觸發,移出,觸發率,報酬60D中位
半導體業,175,81,177,46.0,12.5
電子工業,173,78,167,45.0,4.8
光電業,84,43,85,51.0,4.9
電子零組件業,81,33,82,41.0,4.0
通信網路業,49,19,48,39.0,0.2
電機機械,36,14,34,39.0,10.1
其他電子業,31,12,31,39.0,4.2
電腦及週邊設備業,30,13,31,43.0,13.8
其他,28,11,27,39.0,0.3
塑膠工業,26,12,26,46.0,-3.2
鋼鐵工業,25,9,27,36.0,0.5
建材營造,21,5,20,24.0,0.1
化學工業,17,6,19,35.0,-6.3
其他電子類,15,5,13,33.0,10.5
汽車工業,15,9,17,60.0,-6.8
航運業,14,3,14,21.0,-1.8
造紙工業,14,5,14,36.0,-2.4
生技醫療業,13,2,12,15.0,-4.8
文化創意業,12,8,11,67.0,-1.7
紡織纖維,11,2,9,18.0,-5.3
食品工業,10,1,9,10.0,12.0
觀光事業,9,0,8,0.0,-7.2
金融保險,8,1,12,12.0,1.1
橡膠工業,7,2,7,29.0,27.0
貿易百貨,7,0,7,0.0,-11.3
電器電纜,5,1,4,20.0,-5.0
電子通路業,4,2,4,50.0,-3.6
,3,2,2,67.0,-11.3
資訊服務業,3,3,3,100.0,-5.0
玻璃陶瓷,2,1,1,50.0,-22.0
電子商務業,2,1,2,50.0,-12.2
化學生技醫療,1,0,1,0.0,-14.4
