月,移出,觸發,進榜,月底在榜
2017-01,46,27,63,63
2017-02,74,41,88,77
2017-03,102,30,89,64
2017-04,73,23,56,47
2017-05,64,23,69,52
2017-06,64,27,59,47
2017-07,69,43,106,84
2017-08,106,47,104,82
2017-09,111,32,72,43
2017-10,61,29,85,67
2017-11,74,42,82,75
2017-12,81,20,58,52
