日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,樞紐,報酬20D,基準20D,報酬60D,基準60D,報酬120D,基準120D,報酬180D,基準180D,次日開盤,跳空%,報酬20D開,基準20D開,報酬60D開,基準60D開,報酬120D開,基準120D開,報酬180D開,基準180D開,月
2024-01-02,3390,旭軟,電子零組件業,進榜,觸發,28.99,97.0,1.0,0,,-17.3,-1.7,-4.5,1.9,2.5,8.5,-1.3,5.3,29.3,0.9,-18.1,-1.5,-5.4,2.1,1.5,8.6,-2.2,5.4,2024-01
2024-01-02,3390,旭軟,電子零組件業,觸發,進榜即觸發,28.99,97.0,1.0,0,28.99,-17.3,-1.7,-4.5,1.9,2.5,8.5,-1.3,5.3,29.3,0.9,-18.1,-1.5,-5.4,2.1,1.5,8.6,-2.2,5.4,2024-01
2024-01-02,2362,藍天,電子工業,進榜,觸發,39.28,81.0,2.0,0,,-6.7,-1.7,-4.6,1.9,25.2,8.5,40.4,5.3,40.4,2.9,-9.3,-1.5,-7.3,2.1,21.7,8.6,36.4,5.4,2024-01
2024-01-02,2362,藍天,電子工業,觸發,進榜即觸發,39.28,81.0,2.0,0,39.28,-6.7,-1.7,-4.6,1.9,25.2,8.5,40.4,5.3,40.4,2.9,-9.3,-1.5,-7.3,2.1,21.7,8.6,36.4,5.4,2024-01
2024-01-02,8163,達方,電子工業,進榜,準備,49.01,74.0,1.0,0,,-8.3,-1.7,11.7,1.9,17.4,8.5,-4.4,5.3,49.0,0.0,-8.3,-1.5,11.7,2.1,17.4,8.6,-4.4,5.4,2024-01
2024-01-02,5432,新門,光電業,移出,突破失敗,114.3,100.0,,20,,,,,,,,,,,,,,,,,,,,2024-01
2024-01-02,2059,川湖,電子工業,移出,掉出掃描母體,890.67,73.0,,6,,,,,,,,,,,,,,,,,,,,2024-01
2024-01-03,3034,聯詠,半導體業,移出,掉出掃描母體,438.23,74.0,,5,,,,,,,,,,,,,,,,,,,,2024-01
2024-01-03,6284,佳邦,電子零組件業,移出,掉出掃描母體,75.62,86.0,,83,,,,,,,,,,,,,,,,,,,,2024-01
2024-01-03,5426,振發,電腦及週邊設備業,移出,離高點太遠,24.21,90.0,,21,,,,,,,,,,,,,,,,,,,,2024-01
2024-01-04,8096,擎亞,電子通路業,進榜,觸發,18.77,96.0,2.0,0,,28.2,-0.9,61.3,2.7,114.7,10.0,139.5,6.3,19.3,2.9,24.6,-1.0,56.8,2.5,108.7,9.7,132.7,6.2,2024-01
2024-01-04,8096,擎亞,電子通路業,觸發,進榜即觸發,18.77,96.0,2.0,0,18.77,28.2,-0.9,61.3,2.7,114.7,10.0,139.5,6.3,19.3,2.9,24.6,-1.0,56.8,2.5,108.7,9.7,132.7,6.2,2024-01
2024-01-04,6412,群電,電子工業,進榜,觸發,134.82,93.0,4.0,0,,-4.9,-0.9,13.4,2.7,-5.1,10.0,-11.2,6.3,134.8,0.0,-4.9,-1.0,13.4,2.5,-5.1,9.7,-11.2,6.2,2024-01
2024-01-04,6412,群電,電子工業,觸發,進榜即觸發,134.82,93.0,4.0,0,134.82,-4.9,-0.9,13.4,2.7,-5.1,10.0,-11.2,6.3,134.8,0.0,-4.9,-1.0,13.4,2.5,-5.1,9.7,-11.2,6.2,2024-01
2024-01-04,3035,智原,半導體業,移出,晚期未觸發,355.16,85.0,,36,,,,,,,,,,,,,,,,,,,,2024-01
2024-01-04,2465,麗臺,電腦及週邊設備業,移出,離高點太遠,58.39,94.0,,35,,,,,,,,,,,,,,,,,,,,2024-01
2024-01-04,3213,茂訊,電腦及週邊設備業,移出,離高點太遠,70.56,83.0,,28,,,,,,,,,,,,,,,,,,,,2024-01
2024-01-04,2449,京元電子,半導體業,移出,掉出掃描母體,74.35,78.0,,22,,,,,,,,,,,,,,,,,,,,2024-01
2024-01-05,5225,東科-KY,其他電子業,進榜,觸發,56.75,89.0,6.0,0,,0.6,-1.1,72.3,2.5,99.3,8.8,85.1,5.4,59.2,4.3,-3.5,-1.1,65.3,2.5,91.2,8.8,77.5,5.3,2024-01
2024-01-05,5225,東科-KY,其他電子業,觸發,進榜即觸發,56.75,89.0,6.0,0,56.75,0.6,-1.1,72.3,2.5,99.3,8.8,85.1,5.4,59.2,4.3,-3.5,-1.1,65.3,2.5,91.2,8.8,77.5,5.3,2024-01
2024-01-05,3588,通嘉,半導體業,進榜,準備,83.95,95.0,2.0,0,,-7.5,-1.1,6.1,2.5,-0.8,8.8,-0.3,5.4,85.1,1.3,-8.7,-1.1,4.7,2.5,-2.1,8.8,-1.6,5.3,2024-01
2024-01-05,6462,神盾,半導體業,進榜,準備,139.06,90.0,3.0,0,,96.5,-1.1,77.5,2.5,76.1,8.8,45.4,5.4,145.9,4.9,87.2,-1.1,69.1,2.5,67.8,8.8,38.6,5.3,2024-01
2024-01-05,2520,冠德,建材營造,進榜,準備,32.36,83.0,1.0,0,,-5.6,-1.1,10.6,2.5,35.2,8.8,20.1,5.4,32.6,0.7,-6.3,-1.1,9.8,2.5,34.2,8.8,19.2,5.3,2024-01
2024-01-05,2006,東和鋼鐵,鋼鐵工業,進榜,準備,60.43,71.0,1.0,0,,1.3,-1.1,4.7,2.5,3.8,8.8,16.1,5.4,60.4,0.0,1.3,-1.1,4.7,2.5,3.8,8.8,16.1,5.3,2024-01
2024-01-05,5236,凌陽創新,半導體業,移出,離高點太遠,151.18,94.0,,44,,,,,,,,,,,,,,,,,,,,2024-01
2024-01-05,3044,健鼎,電子工業,移出,掉出掃描母體,175.12,86.0,,28,,,,,,,,,,,,,,,,,,,,2024-01
2024-01-05,3008,大立光,光電業,移出,掉出掃描母體,2408.46,72.0,,11,,,,,,,,,,,,,,,,,,,,2024-01
2024-01-08,8467,波力-KY,其他,進榜,觸發,153.81,98.0,4.0,0,,-2.8,-1.2,31.1,1.9,17.8,9.5,55.4,4.8,143.9,-6.5,3.9,-1.3,40.1,1.7,26.0,9.4,66.1,4.5,2024-01
2024-01-08,8467,波力-KY,其他,觸發,進榜即觸發,153.81,98.0,4.0,0,153.81,-2.8,-1.2,31.1,1.9,17.8,9.5,55.4,4.8,143.9,-6.5,3.9,-1.3,40.1,1.7,26.0,9.4,66.1,4.5,2024-01
