掛單價,監控日,候選,成交,成交率%,折價%,等待日,報酬60D,超額,勝率%,期望值
◆T+1開盤,0,414,414,100.0,1.75,1,-2.8,-2.3,46.9,-2.34
樞紐+1.0%,5,504,318,63.1,1.0,1,-0.8,-1.2,48.1,-0.75
樞紐+1.0%,10,504,335,66.5,1.0,1,-1.9,-1.4,47.2,-0.92
樞紐+1.0%,20,504,350,69.4,1.0,1,-0.7,-1.0,48.6,-0.71
樞紐+0.5%,5,504,306,60.7,0.5,1,-0.6,-0.9,48.0,-0.52
樞紐+0.5%,10,504,328,65.1,0.5,1,-1.7,-1.1,47.0,-0.73
樞紐+0.5%,20,504,341,67.7,0.5,1,-0.7,-0.9,47.8,-0.6
樞紐±0%,5,504,298,59.1,0.0,1,-0.1,-0.5,48.7,-0.32
樞紐±0%,10,504,322,63.9,0.0,1,-1.2,-1.1,47.2,-0.67
樞紐±0%,20,504,334,66.3,0.0,1,-0.4,-0.7,47.9,-0.46
樞紐-1.0%,5,504,275,54.6,-1.0,1,-3.5,-1.6,47.6,-0.85
樞紐-1.0%,10,504,303,60.1,-1.0,1,-3.5,-1.9,47.2,-1.12
樞紐-1.0%,20,504,319,63.3,-1.0,1,-3.5,-1.3,47.6,-0.85
樞紐-2.0%,5,504,252,50.0,-2.0,1,-2.6,-1.2,48.8,-0.59
樞紐-2.0%,10,504,286,56.7,-2.0,1,-2.9,-1.4,48.3,-0.8
樞紐-2.0%,20,504,303,60.1,-2.0,1,-2.5,-0.9,48.8,-0.55
