代號,名稱,產業,進榜次數,首次進榜,報酬60D,觸發次數
2330,台積電,半導體業,11,2024-02-15,5.699999999999999,2
3413,京鼎,半導體業,9,2024-02-22,16.1,0
5434,崇越,電子工業,9,2024-04-02,8.2,2
2543,皇昌,建材營造,6,2024-02-20,50.7,4
5536,聖暉*,其他電子類,6,2024-04-10,21.9,1
2476,鉅祥,電子零組件業,6,2024-02-15,5.05,1
2882,國泰金,金融保險,6,2024-07-11,4.6,1
2362,藍天,電子工業,6,2024-01-02,-3.3499999999999996,3
3450,聯鈞,其他電子業,5,2024-02-16,42.4,5
8096,擎亞,電子通路業,5,2024-01-04,30.2,4
2404,漢唐,其他電子業,5,2024-01-10,26.700000000000003,1
3131,弘塑,其他電子類,5,2024-02-02,22.1,4
9939,宏全,其他,5,2024-01-09,11.9,2
3583,辛耘,半導體業,5,2024-03-25,7.4,2
2357,華碩,電子工業,5,2024-02-02,7.0,1
2881,富邦金,金融保險,5,2024-08-14,5.2,1
2891,中信金,金融保險,5,2024-05-06,0.9999999999999998,0
3034,聯詠,半導體業,5,2024-01-12,-0.5,0
3047,訊舟,通信網路業,5,2024-02-20,-3.8,3
9938,百和,其他,5,2024-10-07,,0
3363,上詮,通信網路業,4,2024-02-16,39.8,4
3293,鈊象,文化創意業,4,2024-01-15,35.6,3
2467,志聖,電子工業,4,2024-01-23,34.4,4
6706,惠特,光電業,4,2024-07-04,33.5,2
2367,燿華,電子工業,4,2024-03-06,33.25,1
6231,系微,資訊服務業,4,2024-02-29,25.950000000000003,4
2365,昆盈,電子工業,4,2024-01-25,19.1,4
4576,大銀微系統,電機機械,4,2024-09-03,16.3,2
5347,世界,半導體業,4,2024-05-22,16.0,2
8467,波力-KY,其他,4,2024-01-08,15.4,4
8112,至上,電子工業,4,2024-03-12,13.799999999999999,0
2504,國產,建材營造,4,2024-03-08,13.7,1
2883,凱基金,金融保險,4,2024-09-05,11.1,1
6535,順藥,生技醫療業,4,2024-02-29,10.899999999999999,4
8163,達方,電子工業,4,2024-01-02,9.75,0
1442,名軒,建材營造,4,2024-05-17,7.4,3
4571,鈞興-KY,電機機械,4,2024-09-13,5.9,2
2520,冠德,建材營造,4,2024-01-05,3.5999999999999996,1
6189,豐藝,電子工業,4,2024-02-22,-0.95,1
3029,零壹,資訊服務業,4,2024-06-25,-1.7,2
3689,湧德,電子零組件業,4,2024-03-05,-2.85,2
6683,雍智科技,半導體業,4,2024-02-16,-3.15,0
2855,統一證,金融保險,4,2024-04-25,-3.6999999999999997,0
1582,信錦,電子工業,4,2024-03-12,-3.85,1
2308,台達電,電子工業,4,2024-08-01,-4.7,0
2382,廣達,電子工業,4,2024-03-28,-6.3,0
2454,聯發科,半導體業,4,2024-02-23,-6.550000000000001,3
6121,新普,電腦及週邊設備業,4,2024-02-21,-6.9,1
2451,創見,半導體業,4,2024-05-16,-10.2,2
9945,潤泰新,其他,4,2024-07-26,-11.4,0
1597,直得,電機機械,4,2024-07-16,-11.8,2
3592,瑞鼎,電子工業,4,2024-01-10,-12.649999999999999,0
4532,瑞智,電機機械,4,2024-05-08,-17.45,0
6442,光聖,通信網路業,3,2024-01-31,133.2,3
4583,台灣精銳,電機機械,3,2024-08-26,76.2,3
3312,弘憶股,電子工業,3,2024-02-23,63.5,3
2464,盟立,其他電子業,3,2024-04-09,52.9,2
6197,佳必琪,電子零組件業,3,2024-03-05,46.4,2
4909,新復興,通信網路業,3,2024-01-11,44.7,3
6446,藥華藥,生技醫療業,3,2024-06-13,40.8,1
6187,萬潤,其他電子類,3,2024-01-15,32.4,2
3663,鑫科,其他電子類,3,2024-07-02,29.5,2
3013,晟銘電,電子工業,3,2024-04-08,28.2,3
3665,貿聯-KY,其他電子業,3,2024-07-03,27.6,1
4562,穎漢,電機機械,3,2024-06-17,24.3,2
2317,鴻海,其他電子業,3,2024-04-29,24.2,1
5443,均豪,光電業,3,2024-02-19,22.7,3
6176,瑞儀,光電業,3,2024-01-10,21.7,1
8089,康全電訊,通信網路業,3,2024-01-23,20.6,2
1522,堤維西,汽車工業,3,2024-02-27,20.5,3
2489,瑞軒,光電業,3,2024-05-16,19.9,3
8040,九暘,半導體業,3,2024-02-23,19.2,3
3374,精材,半導體業,3,2024-06-28,16.5,1
3402,漢科,其他電子類,3,2024-01-25,15.4,3
2059,川湖,電子工業,3,2024-01-22,15.2,1
6215,和椿,其他電子業,3,2024-05-17,14.899999999999999,2
2393,億光,電子工業,3,2024-05-02,10.8,1
6863,永道-KY,電子工業,3,2024-06-06,10.0,1
8027,鈦昇,電機機械,3,2024-01-19,9.9,1
2537,聯上發,建材營造,3,2024-04-29,8.7,3
4526,東台,電機機械,3,2024-04-30,8.2,2
4766,南寶,化學工業,3,2024-03-07,8.1,2
3455,由田,光電業,3,2024-06-07,7.1,2
6691,洋基工程,其他電子業,3,2024-02-29,6.15,1
3376,新日興,電子零組件業,3,2024-01-25,6.1,3
3062,建漢,通信網路業,3,2024-06-21,4.95,2
2637,慧洋-KY,航運業,3,2024-04-15,4.8,0
3580,友威科,其他電子類,3,2024-07-04,4.8,2
4967,十銓,半導體業,3,2024-05-07,3.5,3
5432,新門,光電業,3,2024-01-23,3.1,3
6207,雷科,電子零組件業,3,2024-04-02,2.8,3
2495,普安,其他電子業,3,2024-06-28,1.5,2
3708,上緯投控,化學工業,3,2024-03-22,0.6,2
1519,華城,電機機械,3,2024-01-30,0.2,3
2313,華通,電子工業,3,2024-01-29,-0.6,1
4768,晶呈科技,化學工業,3,2024-03-12,-1.5,1
5225,東科-KY,其他電子業,3,2024-01-05,-1.9,3
6668,中揚光,光電業,3,2024-02-16,-2.6,2
