,進榜,觸發,移出,觸發率,報酬60D中位
電子工業,154,76,159,49.0,2.4
半導體業,113,61,126,54.0,0.4
光電業,71,47,71,66.0,-1.4
電機機械,68,47,63,69.0,-0.1
建材營造,58,28,59,48.0,-0.2
電子零組件業,54,38,58,70.0,-4.5
通信網路業,52,38,52,73.0,-2.3
其他電子業,50,33,48,66.0,18.0
其他電子類,43,26,43,60.0,14.1
其他,35,12,34,34.0,9.1
金融保險,34,5,33,15.0,4.0
航運業,23,9,22,39.0,-3.7
化學工業,18,8,19,44.0,-5.0
電腦及週邊設備業,18,11,21,61.0,-8.4
生技醫療業,17,8,17,47.0,-6.8
電子通路業,15,13,15,87.0,4.9
汽車工業,14,11,13,79.0,-2.9
資訊服務業,12,10,11,83.0,6.8
鋼鐵工業,8,5,9,62.0,-6.2
文化創意業,7,4,7,57.0,12.2
貿易百貨,6,1,6,17.0,-7.2
電器電纜,5,4,5,80.0,5.1
創新板股票,3,1,3,33.0,-25.2
創新版股票,3,3,2,100.0,
化學生技醫療,3,1,3,33.0,-18.3
塑膠工業,2,2,2,100.0,-12.0
橡膠工業,2,0,2,0.0,-2.7
紡織纖維,1,1,1,100.0,
油電燃氣業,1,0,1,0.0,-22.9
電子商務業,1,1,1,100.0,
