日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,報酬20D,基準20D,報酬60D,基準60D,次日開盤,跳空%,報酬20D開,基準20D開,報酬60D開,基準60D開,月
2020-01-02,4935,茂林-KY,光電業,進榜,準備,90.65,99.0,3.0,0,2.3,-6.2,-10.2,-18.5,88.5,-2.3,4.8,-6.4,-8.0,-18.8,2020-01
2020-01-02,6170,統振,通信網路業,進榜,準備,13.29,85.0,2.0,0,-15.1,-6.2,-29.5,-18.5,13.3,-0.3,-14.9,-6.4,-29.3,-18.8,2020-01
2020-01-02,6452,康友-KY,生技醫療業,進榜,準備,225.0,80.0,1.0,0,0.9,-6.2,-31.1,-18.5,231.0,2.7,-1.7,-6.4,-32.9,-18.8,2020-01
2020-01-02,6261,久元,半導體業,進榜,準備,35.63,76.0,1.0,0,-8.6,-6.2,-13.1,-18.5,36.0,1.1,-9.6,-6.4,-14.1,-18.8,2020-01
2020-01-02,2455,全新,通信網路業,進榜,準備,104.43,74.0,2.0,0,-15.4,-6.2,-31.3,-18.5,103.6,-0.8,-14.8,-6.4,-30.7,-18.8,2020-01
2020-01-02,2393,億光,電子工業,進榜,準備,23.22,72.0,1.0,0,-2.4,-6.2,-22.0,-18.5,23.4,0.6,-3.0,-6.4,-22.4,-18.8,2020-01
2020-01-02,3144,新揚科,電子零組件業,移出,掉出掃描母體,33.63,72.0,,6,,,,,,,,,,,2020-01
2020-01-02,2929,淘帝-KY,貿易百貨,移出,掉出掃描母體,81.45,70.0,,2,,,,,,,,,,,2020-01
2020-01-02,9946,三發地產,建材營造,移出,逾期,17.76,81.0,,56,,,,,,,,,,,2020-01
2020-01-02,6005,群益證,金融保險,移出,掉出掃描母體,6.4,73.0,,2,,,,,,,,,,,2020-01
2020-01-03,2317,鴻海,其他電子業,進榜,準備,69.64,73.0,1.0,0,-9.5,-4.9,-19.3,-17.2,69.3,-0.5,-9.0,-4.7,-18.9,-17.0,2020-01
2020-01-03,3530,晶相光,半導體業,進榜,準備,100.42,73.0,2.0,0,-9.1,-4.9,-21.7,-17.2,100.4,0.0,-9.1,-4.7,-21.7,-17.0,2020-01
2020-01-03,2344,華邦電,半導體業,進榜,準備,17.82,71.0,2.0,0,-17.6,-4.9,-36.4,-17.2,17.9,0.5,-18.0,-4.7,-36.8,-17.0,2020-01
2020-01-03,6452,康友-KY,生技醫療業,觸發,等待後觸發,234.5,85.0,1.0,1,-2.8,-4.9,-34.1,-17.2,236.0,0.6,-3.4,-4.7,-34.5,-17.0,2020-01
2020-01-03,5469,瀚宇博,電子零組件業,移出,掉出掃描母體,34.28,77.0,,4,,,,,,,,,,,2020-01
2020-01-03,8182,加高,電子零組件業,移出,離高點太遠,20.47,86.0,,30,,,,,,,,,,,2020-01
2020-01-03,2504,國產,建材營造,移出,掉出掃描母體,10.17,94.0,,4,,,,,,,,,,,2020-01
2020-01-06,2455,全新,通信網路業,移出,掉出掃描母體,105.27,78.0,,4,,,,,,,,,,,2020-01
2020-01-06,2344,華邦電,半導體業,移出,掉出掃描母體,17.82,71.0,,3,,,,,,,,,,,2020-01
2020-01-06,2454,聯發科,半導體業,移出,掉出掃描母體,300.85,80.0,,95,,,,,,,,,,,2020-01
2020-01-06,4938,和碩,電子工業,移出,掉出掃描母體,45.87,79.0,,59,,,,,,,,,,,2020-01
2020-01-06,8088,品安,半導體業,移出,離高點太遠,20.07,89.0,,55,,,,,,,,,,,2020-01
2020-01-06,5607,遠雄港,航運業,移出,離高點太遠,16.82,82.0,,40,,,,,,,,,,,2020-01
2020-01-06,2421,建準,電子工業,移出,掉出掃描母體,35.26,84.0,,28,,,,,,,,,,,2020-01
2020-01-06,3014,聯陽,半導體業,移出,掉出掃描母體,28.01,71.0,,28,,,,,,,,,,,2020-01
2020-01-06,6138,茂達,半導體業,移出,掉出掃描母體,55.61,83.0,,27,,,,,,,,,,,2020-01
2020-01-06,3438,類比科,半導體業,移出,離高點太遠,42.79,95.0,,26,,,,,,,,,,,2020-01
2020-01-06,6239,力成,半導體業,移出,掉出掃描母體,69.8,75.0,,26,,,,,,,,,,,2020-01
2020-01-06,3131,弘塑,其他電子類,移出,離高點太遠,202.42,97.0,,26,,,,,,,,,,,2020-01
2020-01-06,3317,尼克森,半導體業,移出,掉出掃描母體,30.71,82.0,,26,,,,,,,,,,,2020-01
2020-01-07,8996,高力,電機機械,進榜,準備,56.84,93.0,1.0,0,10.4,-3.5,-4.8,-14.9,57.9,1.9,8.4,-3.3,-6.5,-14.9,2020-01
2020-01-07,2929,淘帝-KY,貿易百貨,進榜,準備,80.16,73.0,1.0,0,-15.5,-3.5,-26.7,-14.9,79.3,-1.1,-14.6,-3.3,-25.9,-14.9,2020-01
2020-01-07,2317,鴻海,其他電子業,移出,掉出掃描母體,68.8,73.0,,4,,,,,,,,,,,2020-01
2020-01-07,3530,晶相光,半導體業,移出,掉出掃描母體,102.7,79.0,,4,,,,,,,,,,,2020-01
2020-01-07,2338,光罩,半導體業,移出,掉出掃描母體,28.44,74.0,,32,,,,,,,,,,,2020-01
2020-01-07,6488,環球晶,半導體業,移出,掉出掃描母體,309.28,71.0,,26,,,,,,,,,,,2020-01
2020-01-07,2408,南亞科,半導體業,移出,掉出掃描母體,72.55,78.0,,25,,,,,,,,,,,2020-01
2020-01-07,4150,優你康,生技醫療業,移出,離高點太遠,32.6,100.0,,12,,,,,,,,,,,2020-01
2020-01-07,2392,正崴,電子零組件業,移出,掉出掃描母體,32.31,83.0,,11,,,,,,,,,,,2020-01
2020-01-07,3289,宜特,其他電子類,移出,掉出掃描母體,34.65,71.0,,8,,,,,,,,,,,2020-01
2020-01-07,2383,台光電,電子工業,移出,掉出掃描母體,109.84,72.0,,7,,,,,,,,,,,2020-01
2020-01-08,6409,旭隼,其他電子業,進榜,準備,631.64,81.0,1.0,0,-3.9,-2.7,-16.8,-13.3,630.8,-0.1,-3.8,-2.9,-16.6,-13.6,2020-01
