,進榜,觸發,移出,觸發率,報酬60D中位
半導體業,149,85,155,57.0,-0.1
電子工業,114,56,104,49.0,-3.8
光電業,52,25,51,48.0,4.0
生技醫療業,50,33,48,66.0,16.2
化學生技醫療,41,24,41,59.0,-2.4
電子零組件業,40,22,48,55.0,8.8
電腦及週邊設備業,38,21,37,55.0,4.4
通信網路業,35,17,35,49.0,4.6
其他,34,17,35,50.0,1.8
電機機械,28,14,25,50.0,0.3
其他電子類,26,16,27,62.0,-0.8
建材營造,23,7,27,30.0,4.3
鋼鐵工業,18,5,11,28.0,3.8
其他電子業,17,5,18,29.0,-8.7
塑膠工業,17,5,15,29.0,58.3
航運業,13,6,8,46.0,60.4
化學工業,9,7,8,78.0,-8.9
造紙工業,8,0,8,0.0,15.8
紡織纖維,8,2,8,25.0,-27.3
資訊服務業,8,3,8,38.0,4.8
橡膠工業,8,6,8,75.0,34.8
汽車工業,7,3,9,43.0,-16.0
貿易百貨,7,5,8,71.0,24.9
文化創意業,5,4,7,80.0,-13.7
電器電纜,5,2,4,40.0,22.9
金融保險,5,1,6,20.0,-11.5
存託憑證,4,2,4,50.0,-12.1
油電燃氣業,4,0,4,0.0,11.0
食品工業,4,0,4,0.0,4.0
觀光事業,4,1,4,25.0,-35.8
農業科技業,3,3,3,100.0,172.6
玻璃陶瓷,1,0,0,0.0,
