月,移出,觸發,進榜,月底在榜
2020-01,94,27,69,42
2020-02,70,24,62,34
2020-03,66,18,36,4
2020-04,17,31,60,47
2020-05,59,36,57,45
2020-06,61,31,58,42
2020-07,95,43,77,24
2020-08,43,27,58,39
2020-09,65,25,38,12
2020-10,39,32,68,41
2020-11,65,47,100,76
2020-12,105,56,102,73
