掛單價,監控日,候選,成交,成交率%,折價%,等待日,報酬60D,超額,勝率%,期望值
◆T+1開盤,0,264,264,100.0,1.3,1,1.4,-0.6,49.6,-0.64
樞紐+1.0%,5,397,178,44.8,0.47,1,-1.7,-2.7,46.6,-1.22
樞紐+1.0%,10,397,194,48.9,0.31,1,0.2,-1.3,47.9,-0.66
樞紐+1.0%,20,397,201,50.6,0.27,1,2.5,-1.4,47.3,-0.71
樞紐+0.5%,5,397,175,44.1,0.35,1,-0.5,-2.3,47.4,-1.01
樞紐+0.5%,10,397,191,48.1,0.01,1,1.4,-1.3,48.7,-0.62
樞紐+0.5%,20,397,200,50.4,0.02,1,2.2,-1.3,48.0,-0.68
樞紐±0%,5,397,164,41.3,0.0,1,-0.7,-1.7,47.6,-0.71
樞紐±0%,10,397,182,45.8,-0.0,1,1.2,-1.2,48.4,-0.57
樞紐±0%,20,397,192,48.4,0.0,1,1.7,-1.2,48.4,-0.6
樞紐-1.0%,5,397,156,39.3,-1.0,1,-2.6,-1.4,46.2,-0.55
樞紐-1.0%,10,397,176,44.3,-1.0,1,0.0,-1.0,46.6,-0.43
樞紐-1.0%,20,397,185,46.6,-1.0,1,0.1,-0.9,46.5,-0.41
樞紐-2.0%,5,397,138,34.8,-2.0,1,-3.9,-3.6,42.0,-1.27
樞紐-2.0%,10,397,161,40.6,-2.0,1,-1.7,-2.1,45.3,-0.86
樞紐-2.0%,20,397,176,44.3,-2.0,1,0.0,-1.4,47.2,-0.64
