代號,名稱,產業,進榜次數,首次進榜,報酬60D,觸發次數
3545,敦泰,電子工業,7,2020-02-14,-3.65,2
9919,康那香,其他,6,2020-02-04,39.15,5
4142,國光生,化學生技醫療,6,2020-01-30,25.549999999999997,4
2505,國揚,建材營造,6,2020-04-15,4.199999999999999,3
2363,矽統,半導體業,6,2020-05-21,-0.55,3
8215,明基材,光電業,6,2020-10-29,,1
3373,熱映,其他電子類,5,2020-02-26,61.6,4
4735,豪展,生技醫療業,5,2020-03-04,39.099999999999994,3
6441,廣錠,電腦及週邊設備業,5,2020-03-05,20.549999999999997,5
3515,華擎,電子工業,5,2020-01-08,17.6,4
1904,正隆,造紙工業,5,2020-02-24,15.8,0
1513,中興電,電機機械,5,2020-01-08,13.6,3
3016,嘉晶,半導體業,5,2020-03-04,12.8,2
2330,台積電,半導體業,5,2020-07-27,10.35,2
3152,璟德,通信網路業,5,2020-02-11,9.45,1
3211,順達,電腦及週邊設備業,5,2020-01-17,8.1,3
6409,旭隼,其他電子業,5,2020-01-08,0.5,2
1762,中化生,化學生技醫療,5,2020-01-30,-2.1,5
2006,東和鋼鐵,鋼鐵工業,5,2020-10-30,,0
1325,恆大,塑膠工業,4,2020-02-24,174.85,3
3228,金麗科,半導體業,4,2020-07-02,94.0,3
4133,亞諾法,化學生技醫療,4,2020-03-04,65.05,1
6582,申豐,橡膠工業,4,2020-04-20,45.4,4
6531,愛普*,半導體業,4,2020-02-25,39.55,4
6492,生華科,生技醫療業,4,2020-05-25,35.05,2
2303,聯電,半導體業,4,2020-02-06,33.05,2
5309,系統電,電子零組件業,4,2020-02-11,27.2,3
2504,國產,建材營造,4,2020-01-15,25.2,1
8027,鈦昇,電機機械,4,2020-07-22,18.1,2
5471,松翰,電子工業,4,2020-03-04,16.35,3
6416,瑞祺電通,通信網路業,4,2020-01-10,15.9,2
2448,晶電,光電業,4,2020-01-17,12.399999999999999,0
8926,台汽電,油電燃氣業,4,2020-02-06,11.05,0
2332,友訊,通信網路業,4,2020-02-13,6.9,2
1514,亞力,電機機械,4,2020-02-04,2.2,3
3189,景碩,半導體業,4,2020-02-06,0.6,1
2342,茂矽,半導體業,4,2020-03-03,-0.15000000000000002,1
3705,永信,化學生技醫療,4,2020-05-07,-2.95,0
3131,弘塑,其他電子類,4,2020-01-13,-3.6,2
6261,久元,半導體業,4,2020-01-02,-4.3,2
5474,聰泰,電腦及週邊設備業,4,2020-07-01,-9.3,3
3034,聯詠,半導體業,4,2020-01-13,-11.1,0
3530,晶相光,半導體業,4,2020-01-03,-21.8,0
1477,聚陽,紡織纖維,4,2020-10-20,,1
2014,中鴻,鋼鐵工業,4,2020-11-23,,1
2409,友達,光電業,4,2020-11-04,,1
3669,圓展,光電業,3,2020-04-21,203.5,2
4171,瑞基,農業科技業,3,2020-03-02,172.6,3
4128,中天,生技醫療業,3,2020-05-14,144.0,3
