日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,樞紐,報酬20D,基準20D,報酬60D,基準60D,報酬120D,基準120D,報酬180D,基準180D,次日開盤,跳空%,報酬20D開,基準20D開,報酬60D開,基準60D開,報酬120D開,基準120D開,報酬180D開,基準180D開,月
2016-06-04,9911,櫻花,其他,進榜,觸發,17.45,94.0,1.0,0,,7.2,1.0,32.4,4.4,17.3,1.9,,,17.2,-1.7,9.0,0.9,34.6,4.1,19.3,1.6,,,2016-06
2016-06-04,9911,櫻花,其他,觸發,進榜即觸發,17.45,94.0,1.0,0,17.45,7.2,1.0,32.4,4.4,17.3,1.9,,,17.2,-1.7,9.0,0.9,34.6,4.1,19.3,1.6,,,2016-06
2016-06-04,4534,慶騰,電機機械,進榜,準備,28.45,100.0,2.0,0,,10.9,1.0,3.8,4.4,-4.6,1.9,,,29.1,2.1,8.6,0.9,1.7,4.1,-6.6,1.6,,,2016-06
2016-06-04,1592,英瑞-KY,汽車工業,進榜,準備,49.64,99.0,2.0,0,,-13.3,1.0,13.7,4.4,-14.9,1.9,,,51.1,3.0,-15.9,0.9,10.4,4.1,-17.3,1.6,,,2016-06
2016-06-04,4916,事欣科,電腦及週邊設備業,進榜,準備,33.32,99.0,2.0,0,,0.4,1.0,-14.1,4.4,-27.0,1.9,,,35.8,7.5,-6.6,0.9,-20.1,4.1,-32.1,1.6,,,2016-06
2016-06-04,3548,兆利,電子零組件業,進榜,準備,39.44,97.0,3.0,0,,-6.7,1.0,22.0,4.4,3.4,1.9,,,39.8,1.0,-7.5,0.9,20.9,4.1,2.5,1.6,,,2016-06
2016-06-04,3527,聚積,半導體業,進榜,準備,44.99,96.0,1.0,0,,-0.4,1.0,3.4,4.4,1.2,1.9,,,45.6,1.4,-1.7,0.9,2.0,4.1,-0.1,1.6,,,2016-06
2016-06-04,2345,智邦,通信網路業,進榜,準備,33.22,94.0,3.0,0,,7.6,1.0,17.6,4.4,3.7,1.9,,,33.5,0.8,6.7,0.9,16.7,4.1,2.9,1.6,,,2016-06
2016-06-04,1590,亞德客-KY,電機機械,進榜,準備,182.93,92.0,2.0,0,,10.1,1.0,6.2,4.4,8.7,1.9,,,184.1,0.7,9.4,0.9,5.5,4.1,7.9,1.6,,,2016-06
2016-06-04,6187,萬潤,其他電子類,進榜,準備,41.35,92.0,2.0,0,,11.1,1.0,-1.8,4.4,-18.0,1.9,,,41.3,-0.2,11.3,0.9,-1.6,4.1,-17.8,1.6,,,2016-06
2016-06-04,1215,卜蜂,食品工業,進榜,準備,17.91,91.0,2.0,0,,22.5,1.0,24.4,4.4,48.3,1.9,,,18.1,0.9,21.4,0.9,23.3,4.1,46.9,1.6,,,2016-06
2016-06-04,6446,藥華藥,生技醫療業,進榜,準備,151.97,90.0,3.0,0,,2.9,1.0,-15.7,4.4,-2.8,1.9,,,152.6,0.4,2.4,0.9,-16.0,4.1,-3.2,1.6,,,2016-06
2016-06-04,4746,台耀,化學生技醫療,進榜,準備,71.28,88.0,3.0,0,,13.1,1.0,5.3,4.4,-9.1,1.9,,,71.6,0.5,12.5,0.9,4.8,4.1,-9.5,1.6,,,2016-06
