月,移出,觸發,進榜,月底在榜
2016-06,44,17,91,47
2016-07,79,27,103,71
2016-08,87,31,87,71
2016-09,76,21,72,67
2016-10,79,17,67,55
2016-11,69,13,68,54
2016-12,73,17,65,46
