掛單價,監控日,候選,成交,成交率%,折價%,等待日,報酬60D,超額,勝率%,期望值
◆T+1開盤,0,99,99,100.0,0.2,1,-2.0,-1.9,44.4,-1.86
樞紐+1.0%,5,143,70,49.0,-0.18,1,-2.0,-1.3,48.6,-0.63
樞紐+1.0%,10,143,73,51.0,-0.19,1,-2.0,-1.9,47.9,-0.95
樞紐+1.0%,20,143,79,55.2,-0.25,1,-2.0,-1.9,48.1,-1.03
樞紐+0.5%,5,143,68,47.6,-0.18,1,-2.0,-1.3,48.5,-0.61
樞紐+0.5%,10,143,71,49.7,-0.24,1,-2.0,-1.9,47.9,-0.92
樞紐+0.5%,20,143,76,53.1,-0.28,1,-2.0,-1.9,47.4,-1.01
樞紐±0%,5,143,62,43.4,-0.25,1,-2.0,-1.7,46.8,-0.72
樞紐±0%,10,143,67,46.9,-0.36,1,-2.0,-1.9,46.3,-0.87
樞紐±0%,20,143,72,50.3,-0.37,1,-2.0,-2.1,45.8,-1.05
樞紐-1.0%,5,143,50,35.0,-1.0,1,-1.8,-1.3,48.0,-0.45
樞紐-1.0%,10,143,56,39.2,-1.0,1,-2.9,-2.6,44.6,-1.02
樞紐-1.0%,20,143,63,44.1,-1.0,1,-1.9,-1.9,46.0,-0.82
樞紐-2.0%,5,143,36,25.2,-2.0,1,-1.1,0.6,50.0,0.16
樞紐-2.0%,10,143,45,31.5,-2.0,2,-4.0,-2.6,46.7,-0.81
樞紐-2.0%,20,143,55,38.5,-2.0,3,-3.1,-2.3,45.5,-0.89
