月,移出,觸發,進榜,月底在榜
2022-01,60,9,37,20
2022-02,33,19,37,24
2022-03,46,26,61,39
2022-04,57,23,43,25
2022-05,35,20,37,27
2022-06,59,16,55,23
2022-07,24,15,49,48
2022-08,45,32,56,59
2022-09,81,6,31,9
2022-10,17,3,15,7
2022-11,16,23,48,39
2022-12,60,18,48,27
