掛單價,監控日,候選,成交,成交率%,折價%,等待日,報酬60D,超額,勝率%,期望值
◆T+1開盤,0,167,167,100.0,0.4,1,-10.3,-4.4,38.9,-4.36
樞紐+1.0%,5,210,132,62.9,-0.06,1,-9.4,-2.8,42.4,-1.78
樞紐+1.0%,10,210,139,66.2,-0.02,1,-8.9,-2.5,43.2,-1.64
樞紐+1.0%,20,210,145,69.0,-0.02,1,-8.9,-2.5,43.4,-1.72
樞紐+0.5%,5,210,126,60.0,-0.06,1,-9.4,-4.5,41.3,-2.73
樞紐+0.5%,10,210,133,63.3,-0.1,1,-9.4,-3.3,42.1,-2.11
樞紐+0.5%,20,210,140,66.7,-0.06,1,-9.2,-3.0,42.9,-2.01
樞紐±0%,5,210,119,56.7,-0.25,1,-9.7,-6.2,37.8,-3.5
樞紐±0%,10,210,131,62.4,-0.43,1,-9.4,-4.1,38.9,-2.55
樞紐±0%,20,210,138,65.7,-0.42,1,-9.3,-4.0,39.9,-2.66
樞紐-1.0%,5,210,101,48.1,-1.0,1,-11.4,-6.9,36.6,-3.31
樞紐-1.0%,10,210,114,54.3,-1.0,1,-11.3,-6.0,37.7,-3.24
樞紐-1.0%,20,210,130,61.9,-1.0,1,-11.1,-5.4,40.0,-3.37
樞紐-2.0%,5,210,82,39.0,-2.0,1,-12.2,-8.2,36.6,-3.18
樞紐-2.0%,10,210,101,48.1,-2.0,2,-10.8,-5.2,36.6,-2.5
樞紐-2.0%,20,210,122,58.1,-2.0,2,-10.5,-4.9,38.5,-2.87
