,進榜,觸發,移出,觸發率,報酬60D中位
電子工業,66,27,78,41.0,-6.0
金融保險,58,22,59,38.0,0.0
其他,43,16,40,37.0,1.4
電子零組件業,42,19,48,45.0,-6.3
生技醫療業,41,16,39,39.0,-7.6
通信網路業,33,12,35,36.0,-4.0
電機機械,30,15,29,50.0,-1.3
觀光事業,23,10,17,43.0,4.8
汽車工業,23,6,23,26.0,-8.8
半導體業,20,13,28,65.0,-12.5
光電業,17,11,21,65.0,-20.2
化學工業,17,9,18,53.0,-3.3
化學生技醫療,13,6,11,46.0,-15.0
建材營造,13,1,14,8.0,-8.3
電腦及週邊設備業,13,8,9,62.0,-10.0
其他電子業,11,5,12,45.0,-8.9
其他電子類,9,4,9,44.0,-20.2
貿易百貨,8,1,6,12.0,-34.6
航運業,7,2,7,29.0,1.9
文化創意業,6,1,6,17.0,-1.3
紡織纖維,5,0,5,0.0,-29.8
食品工業,5,1,5,20.0,-15.8
鋼鐵工業,4,0,3,0.0,-21.4
資訊服務業,4,3,4,75.0,-32.6
電器電纜,3,1,4,33.0,14.2
橡膠工業,1,0,1,0.0,-19.3
農業科技業,1,1,1,100.0,-24.5
電子通路業,1,0,1,0.0,
