日期,代號,名稱,產業,事件,原因,收盤,RS,底部序,在榜天數,樞紐,報酬20D,基準20D,報酬60D,基準60D,報酬120D,基準120D,報酬180D,基準180D,次日開盤,跳空%,報酬20D開,基準20D開,報酬60D開,基準60D開,報酬120D開,基準120D開,報酬180D開,基準180D開,月
2022-01-03,8103,瀚荃,電子工業,進榜,準備,49.97,75.0,3.0,0,,-12.5,-1.7,-21.5,-4.2,-37.9,-14.4,-37.3,-11.9,49.8,-0.4,-12.2,-1.9,-21.2,-4.6,-37.7,-15.1,-37.0,-12.3,2022-01
2022-01-03,5871,中租-KY,其他,進榜,準備,192.98,70.0,1.0,0,,-1.7,-1.7,-9.7,-4.2,-23.3,-14.4,-26.5,-11.9,193.3,0.2,-1.9,-1.9,-9.9,-4.6,-23.5,-15.1,-26.7,-12.3,2022-01
2022-01-03,2454,聯發科,半導體業,移出,掉出掃描母體,872.76,72.0,,6,,,,,,,,,,,,,,,,,,,,2022-01
2022-01-03,3033,威健,電子工業,移出,掉出掃描母體,22.32,71.0,,7,,,,,,,,,,,,,,,,,,,,2022-01
2022-01-04,8104,錸寶,光電業,進榜,準備,76.94,93.0,2.0,0,,-17.8,-1.6,-37.4,-4.6,-56.0,-13.8,-60.1,-11.7,78.0,1.3,-18.9,-1.7,-38.3,-4.8,-56.6,-13.9,-60.6,-11.9,2022-01
2022-01-04,2355,敬鵬,電子工業,進榜,準備,35.12,75.0,2.0,0,,-12.3,-1.6,-22.9,-4.6,-31.8,-13.8,-29.8,-11.7,36.6,4.3,-15.9,-1.7,-26.0,-4.8,-34.6,-13.9,-32.7,-11.9,2022-01
2022-01-04,5483,中美晶,半導體業,進榜,準備,197.02,74.0,3.0,0,,-15.5,-1.6,-33.9,-4.6,-42.6,-13.8,-44.0,-11.7,196.2,-0.4,-15.1,-1.7,-33.6,-4.8,-42.4,-13.9,-43.7,-11.9,2022-01
2022-01-04,5871,中租-KY,其他,移出,掉出掃描母體,192.98,70.0,,1,,,,,,,,,,,,,,,,,,,,2022-01
2022-01-04,6792,詠業,通信網路業,移出,離高點太遠,149.87,85.0,,27,,,,,,,,,,,,,,,,,,,,2022-01
2022-01-04,5222,全訊,電子工業,移出,掉出掃描母體,128.62,84.0,,6,,,,,,,,,,,,,,,,,,,,2022-01
2022-01-05,2883,凱基金,金融保險,移出,掉出掃描母體,13.94,70.0,,19,,,,,,,,,,,,,,,,,,,,2022-01
2022-01-05,6104,創惟,半導體業,移出,離高點太遠,165.45,97.0,,55,,,,,,,,,,,,,,,,,,,,2022-01
2022-01-05,6138,茂達,半導體業,移出,突破失敗,196.62,87.0,,7,,,,,,,,,,,,,,,,,,,,2022-01
2022-01-06,4132,國鼎,生技醫療業,進榜,準備,234.0,96.0,2.0,0,,-23.3,-2.3,-28.8,-3.6,-46.6,-12.8,-73.8,-10.7,212.2,-9.3,-15.4,-2.5,-21.5,-3.7,-41.1,-13.2,-71.1,-10.9,2022-01
