代號,名稱,產業,進榜次數,首次進榜,報酬60D,觸發次數
4958,臻鼎-KY,電子零組件業,10,2022-05-20,-4.8,3
2834,臺企銀,金融保險,9,2022-02-17,2.4,2
2880,華南金,金融保險,8,2022-01-14,3.5,2
2474,可成,電子工業,7,2022-08-26,0.3,2
4915,致伸,電子零組件業,6,2022-05-05,13.35,1
5388,中磊,電子工業,6,2022-01-24,10.3,1
2707,晶華,觀光事業,6,2022-04-13,6.2,1
9933,中鼎,其他,6,2022-03-15,1.4,1
8996,高力,電機機械,5,2022-03-21,36.2,4
2206,三陽工業,汽車工業,5,2022-06-17,9.5,1
2634,漢翔,航運業,5,2022-04-18,1.9,1
2886,兆豐金,金融保險,5,2022-01-14,1.7,2
3665,貿聯-KY,其他電子業,5,2022-02-11,0.3,1
9939,宏全,其他,5,2022-09-15,0.2,1
2890,永豐金,金融保險,5,2022-01-07,-0.3,1
1722,台肥,化學工業,5,2022-01-12,-1.4,1
5876,上海商銀,金融保險,5,2022-06-06,-5.2,2
6550,北極星藥業-KY,生技醫療業,5,2022-02-17,-10.2,2
2915,潤泰全,貿易百貨,5,2022-01-11,-33.7,1
8440,綠電,其他,4,2022-02-15,24.2,2
4116,明基醫,生技醫療業,4,2022-05-06,18.0,1
1708,東鹼,化學工業,4,2022-01-14,14.55,3
3289,宜特,其他電子類,4,2022-09-13,14.0,1
6245,立端,通信網路業,4,2022-06-13,8.7,0
2884,玉山金,金融保險,4,2022-01-13,2.35,3
2812,台中銀,金融保險,4,2022-01-13,2.0,1
8028,昇陽半導體,半導體業,4,2022-03-24,0.6000000000000001,2
2892,第一金,金融保險,4,2022-01-24,0.14999999999999997,2
5434,崇越,電子工業,4,2022-02-09,-10.799999999999999,0
3596,智易,通信網路業,4,2022-04-22,-12.4,1
2233,宇隆,汽車工業,4,2022-06-21,-18.9,0
3454,晶睿,光電業,3,2022-09-08,65.6,3
2305,全友,電子工業,3,2022-06-15,52.0,3
6446,藥華藥,生技醫療業,3,2022-05-13,33.8,1
6617,共信-KY,生技醫療業,3,2022-07-08,28.2,1
4114,健喬,生技醫療業,3,2022-06-23,24.1,1
4979,華星光,通信網路業,3,2022-07-25,15.25,2
8222,寶一,電機機械,3,2022-07-14,11.1,3
4536,拓凱,其他,3,2022-09-22,9.6,0
