stock_id,event_date,prev_close,open,close,chg%,ratio,原始比值,還原後漲跌%,方向,同檔命中數,判定
6103,2025-10-15,41.15,37.0,35.6,-13.5,1.1765,1.155899,1.8,往下跳（分割／面額變更）,4,幅度不足以確認
3191,2025-10-22,18.35,17.5,16.25,-11.4,1.1111,1.129231,-1.6,往下跳（分割／面額變更）,2,幅度不足以確認
3629,2025-11-03,23.35,23.1,27.7,18.6,0.849979,0.84296,0.8,往上跳（減資／反向分割）,6,幅度不足以確認
7717,2025-11-18,142.0,134.1081,168.8769,18.9,0.849979,0.840849,1.1,往上跳（減資／反向分割）,1,幅度不足以確認
4991,2025-12-22,189.42,200.5,211.5,11.7,0.900009,0.895603,0.5,往上跳（減資／反向分割）,1,幅度不足以確認
6236,2025-12-26,29.3,21.75,21.75,-25.8,1.3333,1.347126,-1.0,往下跳（分割／面額變更）,10,同檔命中過多
6921,2025-12-26,92.0,90.0,81.0,-12.0,1.1111,1.135802,-2.2,往下跳（分割／面額變更）,1,幅度不足以確認
3629,2026-01-12,22.3,26.45,25.0,12.1,0.900009,0.892,0.9,往上跳（減資／反向分割）,6,幅度不足以確認
5301,2026-01-15,11.05,11.7,12.4,12.2,0.900009,0.891129,1.0,往上跳（減資／反向分割）,2,幅度不足以確認
6907,2026-01-30,49.0,46.6723,42.2037,-13.9,1.1765,1.161036,1.3,往下跳（分割／面額變更）,1,幅度不足以確認
7823,2026-02-09,131.0,128.5,113.5,-13.4,1.1765,1.154185,1.9,往下跳（分割／面額變更）,1,幅度不足以確認
6236,2026-04-14,21.6,18.0,18.0,-16.7,1.1765,1.2,-2.0,往下跳（分割／面額變更）,10,同檔命中過多
6103,2026-07-08,34.25,29.85,29.85,-12.8,1.1765,1.147404,2.5,往下跳（分割／面額變更）,4,幅度不足以確認
2724,2026-07-27,11.85,11.05,10.4,-12.2,1.1111,1.139423,-2.5,往下跳（分割／面額變更）,7,同檔命中過多
3664,2026-08-03,6.16,7.0,7.0,13.6,0.900009,0.88,2.3,往上跳（減資／反向分割）,1,幅度不足以確認
